,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
0,FF,2023-10-01,91.0,-1.62,5.86,"Blackmon, Charlie",453568,641927,field_out,hit_into_play,,,,,5,"Charlie Blackmon grounds out, second baseman Edouard Julien to first baseman Christian Vazquez.   Brenton Doyle to 3rd.",R,L,R,COL,MIN,X,4.0,ground_ball,0,0,2023,-0.46,1.06,0.16,2.66,,686668.0,,1,6,Bot,141.59,151.3,,,680777,,,5.528555570159313,-132.74293566288185,-4.692203973206313,-6.306875389239434,19.075254897458095,-18.7366043018862,3.5,1.63,10.0,80.8,-13.0,93.9,2181.0,7.1,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.35,0.074,0.069,0.0,1.0,0.0,0.0,2.0,45,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,217.0,-0.054,-0.338
1,CH,2023-10-01,85.2,-1.62,5.95,"Blackmon, Charlie",453568,641927,field_out,hit_into_play,,,,,14,Charlie Blackmon grounds out sharply to first baseman Alex Kirilloff.,R,L,R,COL,MIN,X,3.0,ground_ball,0,1,2023,-1.16,0.3,0.24,1.12,,,,0,4,Bot,164.13,158.1,,,680777,,,6.75642341119009,-124.015442106883,-5.849382327467765,-13.192206113450013,19.431055349615946,-28.21225945318785,3.5,1.63,4.0,99.1,-16.0,87.0,2084.0,6.9,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.55,0.197,0.179,0.0,1.0,0.0,0.0,2.0,28,2,Changeup,0,2,0,2,2,0,0,2,Infield shade,Strategic,250.0,-0.029,-0.2
2,FF,2023-10-01,90.4,-1.59,5.96,"Blackmon, Charlie",453568,641927,,called_strike,,,,,12,Charlie Blackmon grounds out sharply to first baseman Alex Kirilloff.,R,L,R,COL,MIN,S,,,0,0,2023,-0.66,0.9,0.11,3.36,,,,0,4,Bot,,,,,680777,,,5.712557523459605,-131.88649913288293,-2.6890808051608763,-8.748372656601548,19.12955726546122,-21.109727771836816,3.12,1.38,,,,92.8,2259.0,6.9,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.61,,,,,,,,28,1,4-Seam Fastball,0,2,0,2,2,0,0,2,Infield shade,Strategic,220.0,0.0,-0.038
3,CH,2023-10-01,89.2,-3.11,6.36,"Blackmon, Charlie",453568,660896,field_out,hit_into_play,,,,,11,Charlie Blackmon flies out to left fielder Willi Castro.,R,L,R,COL,MIN,X,7.0,fly_ball,0,1,2023,-1.23,0.62,-1.2,2.6,,,,0,9,Bot,62.04,88.06,,,680777,,,7.198448887155138,-129.8467644499009,-4.588112007885443,-15.39496588414913,22.25965317946002,-24.413577769890843,3.5,1.63,317.0,85.0,33.0,88.9,2414.0,5.7,716359,660896,680777,666397,543877,456781,571657,650489,664057,656669,54.8,0.014,0.013,0.0,1.0,0.0,0.0,3.0,67,2,Changeup,2,2,2,2,2,2,2,2,Infield shade,Standard,229.0,-0.057,-0.2
4,FF,2023-10-01,95.3,-2.81,6.61,"Blackmon, Charlie",453568,660896,,called_strike,,,,,5,Charlie Blackmon flies out to left fielder Willi Castro.,R,L,R,COL,MIN,S,,,0,0,2023,-0.63,1.11,-0.04,2.91,,,,0,9,Bot,,,,,680777,,,8.576012172593733,-138.6059167314376,-6.620410301323364,-9.75995021090598,24.77898830714537,-16.581854280655133,3.57,1.71,,,,95.0,2365.0,5.7,716359,660896,680777,666397,543877,456781,571657,650489,664057,656669,54.82,,,,,,,,67,1,4-Seam Fastball,2,2,2,2,2,2,2,2,Infield shade,Standard,220.0,0.0,-0.038
5,EP,2023-10-01,51.4,-2.83,5.72,"Blackmon, Charlie",453568,656669,field_out,hit_into_play,,,,,8,Charlie Blackmon flies out to right fielder Trevor Larnach.,R,L,R,COL,MIN,X,9.0,fly_ball,0,1,2023,-0.54,0.86,0.0,1.93,,686668.0,,0,11,Bot,174.24,133.6,,,680777,,,4.558750334879053,-74.60061700941213,3.859813860168881,-2.528378963120616,7.9578338312167505,-29.55355412448747,3.5,1.63,203.0,74.4,56.0,50.5,1297.0,5.2,716359,656669,680777,666397,543877,456781,571657,650489,664057,663616,55.33,0.054,0.062,0.0,1.0,0.0,0.0,3.0,84,2,Eephus,2,2,2,2,2,2,2,2,Standard,Standard,230.0,-0.108,-0.301
6,FF,2023-10-01,91.6,-1.64,5.88,"Blackmon, Charlie",453568,641927,field_out,hit_into_play,,,,,2,Charlie Blackmon flies out to center fielder Willi Castro.,R,L,R,COL,MIN,X,8.0,fly_ball,0,0,2023,-0.5,1.15,-0.27,3.23,,,,0,1,Bot,106.53,84.22,,,680777,,,4.588395711825367,-133.48037998344788,-3.4701815026795035,-6.884053114939593,23.773589227628747,-17.766839660090273,3.5,1.63,290.0,90.6,52.0,93.4,2332.0,6.9,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.6,0.003,0.003,0.0,1.0,0.0,0.0,3.0,4,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,221.0,-0.021,-0.238
7,FA,2023-10-01,73.0,-2.36,6.01,"Blackmon, Charlie",453568,656669,,called_strike,,,,,8,Charlie Blackmon flies out to right fielder Trevor Larnach.,R,L,R,COL,MIN,S,,,0,0,2023,-0.7,1.34,0.17,2.2,,686668.0,,0,11,Bot,,,,,680777,,,6.140003736917521,-106.1854371867272,-2.659859010425428,-6.221600004229209,15.678060384879345,-21.73938647509244,3.76,1.85,,,,71.7,2097.0,5.0,716359,656669,680777,666397,543877,456781,571657,650489,664057,663616,55.53,,,,,,,,84,1,Other,2,2,2,2,2,2,2,2,Standard,Standard,220.0,0.0,-0.062
8,CH,2023-09-30,85.1,-2.92,5.97,"Blackmon, Charlie",453568,663978,field_out,hit_into_play,,,,,14,"Charlie Blackmon lines out, pitcher Chris Paddack to shortstop Willi Castro to first baseman Alex Kirilloff.   Brenton Doyle to 3rd.",R,L,R,COL,MIN,X,1.0,line_drive,3,1,2023,-1.09,0.61,0.92,2.45,,686668.0,,1,3,Bot,128.54,158.49,,,543877,,,11.273061992530067,-123.53939754282456,-3.255000512775557,-13.20792401583718,20.54510364103061,-25.39875820930398,3.48,1.61,93.0,65.2,13.0,86.2,2054.0,6.8,716368,663978,543877,666135,666397,456781,650489,670242,572191,596146,53.73,0.26,0.234,0.0,1.0,0.0,0.0,2.0,27,5,Changeup,0,6,0,6,6,0,0,6,Strategic,Standard,241.0,-0.013,-0.478
9,CH,2023-09-30,84.2,-3.02,6.01,"Blackmon, Charlie",453568,663978,,ball,,,,,13,"Charlie Blackmon lines out, pitcher Chris Paddack to shortstop Willi Castro to first baseman Alex Kirilloff.   Brenton Doyle to 3rd.",R,L,R,COL,MIN,B,,,2,1,2023,-0.83,0.4,-0.22,1.43,,,686668.0,1,3,Bot,,,,,543877,,,8.138420468746974,-122.47028663811392,-5.12395252141145,-9.813147700681258,21.500495596285838,-27.407917893585232,3.46,1.59,,,,84.8,1863.0,6.4,716368,663978,543877,666135,666397,456781,650489,670242,572191,596146,54.06,,,,,,,,27,4,Changeup,0,6,0,6,6,0,0,6,Infield shade,Standard,251.0,0.005,0.117
