,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
0,FF,2023-10-01,97.4,-2.73,6.54,"Bouchard, Sean",656248,660896,home_run,hit_into_play,,,,,1,Sean Bouchard homers (4) on a fly ball to left field.,R,R,R,COL,MIN,X,,fly_ball,3,2,2023,-0.84,1.2,-0.43,3.12,,,,2,8,Bot,30.34,71.46,,,680777,,,7.998409813913056,-141.74587582942908,-6.456986771316334,-12.934616427529674,26.10465692217957,-14.692185202089556,3.51,1.69,392.0,99.3,31.0,97.2,2437,5.8,716359,660896,680777,543877,666397,456781,571657,650489,664057,656669,54.74,0.403,0.768,2.0,1.0,0.0,3.0,6.0,61,6,4-Seam Fastball,1,2,1,2,2,2,2,2,Standard,Standard,220,0.336,0.976
1,FF,2023-10-01,97.2,-2.76,6.54,"Bouchard, Sean",656248,660896,,called_strike,,,,,1,Sean Bouchard homers (4) on a fly ball to left field.,R,R,R,COL,MIN,S,,,3,1,2023,-0.86,1.11,-0.55,3.12,,,,2,8,Bot,,,,,680777,,,7.834837982382289,-141.4578617402138,-6.211857252135724,-13.19673917726516,28.11381685474396,-16.01566763809775,3.5,1.71,,,,97.2,2486,6.0,716359,660896,680777,543877,666397,456781,571657,650489,664057,656669,54.52,,,,,,,,61,5,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,220,0.0,-0.036
2,SL,2023-10-01,88.8,-3.06,6.37,"Bouchard, Sean",656248,660896,,ball,,,,,14,Sean Bouchard homers (4) on a fly ball to left field.,R,R,R,COL,MIN,B,,,2,1,2023,-0.06,0.35,0.65,1.43,,,,2,8,Bot,,,,,680777,,,9.136434835980667,-129.10120693361932,-6.885931155014596,-2.0392935754065302,19.43254049248113,-27.189195871913405,3.5,1.61,,,,89.3,2461,6.0,716359,660896,680777,543877,666397,456781,571657,650489,664057,656669,54.46,,,,,,,,61,4,Slider,1,2,1,2,2,1,1,2,Standard,Standard,210,0.0,0.045
3,FF,2023-10-01,97.3,-2.72,6.54,"Bouchard, Sean",656248,660896,,called_strike,,,,,2,Sean Bouchard homers (4) on a fly ball to left field.,R,R,R,COL,MIN,S,,,2,0,2023,-0.75,1.06,0.23,3.24,,,,2,8,Bot,,,,,680777,,,9.56600089186857,-141.53579710057576,-5.824251598653272,-12.043204781624736,26.2952319171041,-16.808995291091588,3.4,1.64,,,,97.4,2438,5.9,716359,660896,680777,543877,666397,456781,571657,650489,664057,656669,54.57,,,,,,,,61,3,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,218,0.0,-0.023
4,SI,2023-10-01,96.9,-2.65,6.55,"Bouchard, Sean",656248,660896,,ball,,,,,11,Sean Bouchard homers (4) on a fly ball to left field.,R,R,R,COL,MIN,B,,,1,0,2023,-1.1,0.64,-0.65,3.7,,,,2,8,Bot,,,,,680777,,,7.842396996470211,-141.07495507880424,-3.607135557434798,-16.313436734377092,27.271996624798117,-22.931330645623067,3.5,1.75,,,,97.3,2235,6.1,716359,660896,680777,543877,666397,456781,571657,650489,664057,656669,54.37,,,,,,,,61,2,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,220,0.0,0.022
5,SL,2023-10-01,89.5,-3.03,6.48,"Bouchard, Sean",656248,660896,,ball,,,,,14,Sean Bouchard homers (4) on a fly ball to left field.,R,R,R,COL,MIN,B,,,0,0,2023,0.29,0.16,1.12,2.42,,,,2,8,Bot,,,,,680777,,,9.550133617076748,-130.2209569760739,-4.459164794586624,1.7458634113191795,21.65492871920468,-29.701268101961983,3.29,1.61,,,,89.7,2667,6.0,716359,660896,680777,543877,666397,456781,571657,650489,664057,656669,54.54,,,,,,,,61,1,Slider,1,2,1,2,2,1,1,2,Standard,Standard,170,0.0,0.016
6,CH,2023-09-30,81.1,0.99,6.03,"Bouchard, Sean",656248,572971,strikeout,swinging_strike,,,,,13,Sean Bouchard strikes out swinging.,R,R,L,COL,MIN,S,2.0,,2,2,2023,0.83,0.05,-0.12,0.69,,666134.0,,2,9,Bot,,,,,543877,,,-4.033285191193687,-118.09910843043022,-5.5205169251923145,8.476819325532201,18.400328636958168,-30.96350011623147,3.54,1.72,,,,81.2,1588,5.9,716368,572971,543877,656669,666397,456781,650489,664057,572191,670242,54.55,,,0.0,1.0,0.0,0.0,,87,7,Changeup,6,14,6,14,14,6,6,14,Standard,Standard,118,0.0,-0.242
7,CH,2023-09-30,80.9,1.09,6.03,"Bouchard, Sean",656248,572971,,foul,,,,,14,Sean Bouchard strikes out swinging.,R,R,L,COL,MIN,S,,,2,2,2023,0.89,0.19,0.81,1.03,,666134.0,,2,9,Bot,,,,,543877,,,-2.3184103688201003,-117.89574104120403,-5.015389350345209,8.802385269003238,18.17587084079274,-29.74793339867048,3.54,1.72,,,,81.3,1594,6.0,716368,572971,543877,656669,666397,456781,650489,664057,572191,670242,54.47,,,,,,,,87,6,Changeup,6,14,6,14,14,6,6,14,Standard,Standard,118,0.0,0.0
8,SI,2023-09-30,87.8,0.98,6.15,"Bouchard, Sean",656248,572971,,foul,,,,,4,Sean Bouchard strikes out swinging.,R,R,L,COL,MIN,S,,,2,2,2023,0.96,0.29,-0.81,2.31,,666134.0,,2,9,Bot,,,,,543877,,,-6.269469308396192,-127.83565460160136,-3.844495632651783,11.765498844225196,22.439558102976587,-28.46945005140347,3.54,1.72,2.0,74.3,-47.0,87.9,2031,6.0,716368,572971,543877,656669,666397,456781,650489,664057,572191,670242,54.5,,,,,,,,87,5,Sinker,6,14,6,14,14,6,6,14,Standard,Standard,135,0.0,0.0
9,FC,2023-09-30,85.8,1.19,6.03,"Bouchard, Sean",656248,572971,,ball,,,,,14,Sean Bouchard strikes out swinging.,R,R,L,COL,MIN,B,,,1,2,2023,0.13,0.4,1.59,1.6,,666134.0,,2,9,Bot,,,,,543877,,,0.6764308291754404,-124.97902209707888,-5.0691029065452655,1.2814074286785544,22.342249407001717,-27.268505111505185,3.46,1.72,,,,85.7,2328,5.9,716368,572971,543877,656669,666397,456781,650489,664057,572191,670242,54.61,,,,,,,,87,4,Cutter,6,14,6,14,14,6,6,14,Standard,Standard,143,0.0,0.017
