,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
0,CH,2023-10-01,83.7,-1.41,5.93,"Bryant, Kris",592178,641927,strikeout,swinging_strike,,,,,14,Kris Bryant strikes out swinging.,R,R,R,COL,MIN,S,2.0,,3,2,2023,-1.32,0.26,0.94,1.71,,,,1,7,Bot,,,,,680777,,,8.12497056990193,-121.8030158551557,-4.024130250069114,-14.561455679680456,18.744917978846136,-29.10753428151464,3.32,1.7,,,,85.7,2139.0,7.1,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.42,,,0.0,1.0,0.0,0.0,,53,6,Changeup,1,2,1,2,2,1,1,2,Standard,Standard,247.0,-0.035,-0.207
1,CH,2023-10-01,82.9,-1.47,5.94,"Bryant, Kris",592178,641927,,ball,,,,,14,Kris Bryant strikes out swinging.,R,R,R,COL,MIN,B,,,2,2,2023,-1.36,0.21,1.06,1.2,,,,1,7,Bot,,,,,680777,,,8.571397502904903,-120.62766289979383,-4.968624008626827,-14.81327297961898,17.71745022345933,-29.50385338948303,3.31,1.64,,,,84.9,2154.0,7.0,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.47,,,,,,,,53,5,Changeup,1,2,1,2,2,1,1,2,Standard,Standard,252.0,0.0,0.059
2,FF,2023-10-01,92.1,-1.35,5.98,"Bryant, Kris",592178,641927,,foul,,,,,11,Kris Bryant strikes out swinging.,R,R,R,COL,MIN,S,,,2,1,2023,-0.55,1.09,-0.05,3.48,,,,1,7,Bot,,,,,680777,,,4.5571985899315495,-134.26288512590494,-3.0846496537148425,-7.506673491214051,20.93045379047105,-18.382419756821164,3.32,1.7,231.0,80.2,58.0,94.7,2304.0,7.1,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.43,,,,,,,,53,4,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,211.0,0.0,-0.048
3,FF,2023-10-01,92.2,-1.39,5.94,"Bryant, Kris",592178,641927,,swinging_strike,,,,,6,Kris Bryant strikes out swinging.,R,R,R,COL,MIN,S,,,2,0,2023,-0.67,1.18,0.28,2.61,,,,1,7,Bot,,,,,680777,,,5.791203191777291,-134.28309756138702,-5.441366082556781,-9.140036187208583,21.46910995006049,-16.831742982023815,3.32,1.7,,,,94.7,2325.0,7.1,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.4,,,,,,,,53,3,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,212.0,0.0,-0.039
4,CH,2023-10-01,84.1,-1.6,5.99,"Bryant, Kris",592178,641927,,ball,,,,,14,Kris Bryant strikes out swinging.,R,R,R,COL,MIN,B,,,1,0,2023,-1.41,0.25,1.29,1.88,,,,1,7,Bot,,,,,680777,,,9.6120234790342,-122.23089553320776,-3.768769352317734,-15.871327059255682,19.431624511964213,-29.18842613840492,3.31,1.71,,,,85.8,2168.0,7.0,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.47,,,,,,,,53,2,Changeup,1,2,1,2,2,1,1,2,Standard,Standard,251.0,0.0,0.042
5,FF,2023-10-01,91.1,-1.5,5.9,"Bryant, Kris",592178,641927,,ball,,,,,11,Kris Bryant strikes out swinging.,R,R,R,COL,MIN,B,,,0,0,2023,-0.67,1.13,-1.51,4.27,,,,1,7,Bot,,,,,680777,,,1.4395507766678677,-132.9349143528956,-0.8155041534205847,-8.316246085420634,20.58711401216496,-18.550544755052886,3.31,1.75,,,,93.7,2307.0,7.0,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.46,,,,,,,,53,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,213.0,0.0,0.025
6,CH,2023-10-01,83.9,-1.58,5.91,"Bryant, Kris",592178,641927,field_out,hit_into_play,,,,,6,Kris Bryant flies out to right fielder Matt Wallner.,R,R,R,COL,MIN,X,9.0,fly_ball,1,0,2023,-1.21,0.37,0.33,2.25,,,,2,4,Bot,188.45,77.46,,,680777,,,6.9429537133482615,-122.2004985475158,-2.9251446779580728,-13.461356415731728,20.183359860588627,-28.1404103780456,3.32,1.7,337.0,95.5,43.0,85.8,2127.0,7.1,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.43,0.046,0.083,0.0,1.0,0.0,0.0,3.0,31,2,Changeup,1,2,1,2,2,1,1,2,Standard,Strategic,255.0,-0.013,-0.122
7,CU,2023-10-01,75.5,-1.2,6.08,"Bryant, Kris",592178,641927,,ball,,,,,12,Kris Bryant flies out to right fielder Matt Wallner.,R,R,R,COL,MIN,B,,,0,0,2023,0.4,-0.85,1.39,2.72,,,,2,4,Bot,,,,,680777,,,4.713367085314166,-109.87327213618732,1.585862406295504,2.5336022303795054,17.28126183914985,-39.59221836984963,3.31,1.68,,,,76.6,2259.0,6.8,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.67,,,,,,,,31,1,Curveball,1,2,1,2,2,1,1,2,Standard,Strategic,39.0,0.0,0.016
8,SI,2023-10-01,95.9,-2.87,6.61,"Bryant, Kris",592178,660896,walk,ball,,,,,11,Kris Bryant walks.,R,R,R,COL,MIN,B,,,3,1,2023,-0.99,0.76,-1.02,4.87,,666134.0,,2,9,Bot,,,,,680777,,,7.043933958873265,-139.72381185287205,-0.8164311164079547,-14.420618818019262,26.438136431532065,-22.05924682276966,3.31,1.71,,,,95.6,2191.0,5.7,716359,660896,680777,666397,543877,456781,571657,650489,664057,656669,54.82,,,0.7,1.0,0.0,0.0,,70,5,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,222.0,0.003,0.083
9,SL,2023-10-01,86.4,-2.97,6.5,"Bryant, Kris",592178,660896,,ball,,,,,11,Kris Bryant walks.,R,R,R,COL,MIN,B,,,2,1,2023,0.46,0.17,-1.03,3.32,,,666134.0,2,9,Bot,,,,,680777,,,3.6755637196357793,-125.99740262598252,-1.8001149204817244,4.305833707181343,21.89753372861081,-30.21572666660068,3.31,1.66,,,,86.6,2476.0,6.0,716359,660896,680777,666397,543877,456781,571657,650489,664057,656669,54.5,,,,,,,,70,4,Slider,2,2,2,2,2,2,2,2,Standard,Standard,151.0,0.045,0.081
