,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
0,FF,2023-10-01,91.0,1.98,6.31,"Díaz, Elias",553869,681892,single,hit_into_play,,,,,5,Elias Diaz singles on a ground ball to shortstop Kyle Farmer.   Ryan McMahon to 3rd.,R,R,L,COL,MIN,X,6.0,ground_ball,2,0,2023,-0.55,0.79,0.07,2.28,,641857.0,,2,10,Bot,117.08,139.1,,,680777,,,-3.643890931608643,-132.6025513802629,-6.093455181711656,-6.054353511129832,21.91784515373261,-21.80466819724659,3.14,1.43,14.0,95.3,-9.0,92.7,2339.0,6.8,716359,681892,680777,666397,543877,456781,571657,650489,664057,656669,53.75,0.223,0.206,0.9,1.0,1.0,0.0,2.0,77,3,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,167.0,0.027,0.693
1,SI,2023-10-01,93.1,2.3,6.16,"Díaz, Elias",553869,681892,,ball,,,,,12,Elias Diaz singles on a ground ball to shortstop Kyle Farmer.   Ryan McMahon to 3rd.,R,R,L,COL,MIN,B,,,1,0,2023,1.09,0.73,0.02,3.74,,641857.0,,2,10,Bot,,,,,680777,,,-8.283096480720587,-135.45232849659502,-2.1282298026760897,15.135991562157452,25.62014911370241,-22.86683235982238,3.13,1.49,,,,94.0,2293.0,6.6,716359,681892,680777,666397,543877,456781,571657,650489,664057,656669,53.95,,,,,,,,77,2,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,149.0,0.0,0.033
2,SI,2023-10-01,93.2,2.27,6.16,"Díaz, Elias",553869,681892,,ball,,,,,12,Elias Diaz singles on a ground ball to shortstop Kyle Farmer.   Ryan McMahon to 3rd.,R,R,L,COL,MIN,B,,,0,0,2023,0.95,0.72,1.12,4.03,,641857.0,,2,10,Bot,,,,,680777,,,-5.096834622679663,-135.85800840426816,-1.3876269397027516,12.807597114041378,24.86564448871324,-23.101000356475232,3.29,1.42,,,,94.7,2276.0,6.7,716359,681892,680777,666397,543877,456781,571657,650489,664057,656669,53.79,,,,,,,,77,1,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,136.0,0.0,0.023
3,CU,2023-09-30,80.8,-2.62,6.22,"Díaz, Elias",553869,663978,single,hit_into_play,,,,,9,Elias Diaz singles on a ground ball to right fielder Max Kepler.,R,R,R,COL,MIN,X,9.0,ground_ball,0,0,2023,0.26,-0.95,0.56,1.63,,,,2,2,Bot,167.33,105.16,,,543877,,,6.627925483580725,-117.61906810097317,-1.8697586135744853,1.4019906218186262,18.959846398234813,-40.96180646399233,3.13,1.44,91.0,87.6,5.0,81.6,2210.0,6.5,716368,663978,543877,666135,666397,456781,650489,670242,572191,596146,54.02,0.437,0.424,0.9,1.0,1.0,0.0,4.0,16,1,Curveball,0,2,0,2,2,0,0,2,Infield shade,Standard,22.0,0.014,0.132
4,FF,2023-09-30,97.3,-1.03,5.53,"Díaz, Elias",553869,643377,walk,ball,,,,,12,Elias Diaz walks.,R,R,R,COL,MIN,B,,,3,2,2023,-0.45,1.2,0.62,3.83,,,,0,5,Bot,,,,,543877,,,5.492570637873556,-141.84805376095363,-1.8954028597933492,-7.16190296505883,26.635769825558167,-15.61582291500028,3.13,1.43,,,,98.4,2459.0,6.4,716368,643377,543877,666135,666397,456781,650489,670242,572191,596146,54.09,,,0.7,1.0,0.0,0.0,,39,8,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,211.0,0.015,0.312
5,CH,2023-09-30,91.7,-0.94,5.59,"Díaz, Elias",553869,643377,,ball,,,,,9,Elias Diaz walks.,R,R,R,COL,MIN,B,,,2,2,2023,-1.05,0.43,0.62,1.9,,,,0,5,Bot,,,,,543877,,,6.218635857473349,-133.59185806751483,-4.566604650641234,-13.810776451601404,22.95622111844628,-26.29547761558064,3.13,1.47,,,,92.8,2173.0,6.5,716368,643377,543877,666135,666397,456781,650489,670242,572191,596146,54.04,,,,,,,,39,7,Changeup,0,6,0,6,6,0,0,6,Standard,Standard,231.0,0.0,0.103
6,SI,2023-09-30,97.6,-0.81,5.55,"Díaz, Elias",553869,643377,,foul,,,,,12,Elias Diaz walks.,R,R,R,COL,MIN,S,,,2,2,2023,-0.92,1.29,0.03,3.33,,,,0,5,Bot,,,,,543877,,,4.394274008529126,-142.1632909884872,-3.550122167315854,-13.43913217659042,28.20245305188116,-13.934794962309407,3.13,1.44,195.0,77.0,17.0,98.6,2518.0,6.5,716368,643377,543877,666135,666397,456781,650489,670242,572191,596146,54.02,,,,,,,,39,6,Sinker,0,6,0,6,6,0,0,6,Standard,Standard,211.0,0.0,0.0
7,FF,2023-09-30,98.0,-0.86,5.6,"Díaz, Elias",553869,643377,,ball,,,,,12,Elias Diaz walks.,R,R,R,COL,MIN,B,,,1,2,2023,-0.71,1.2,1.1,3.31,,,,0,5,Bot,,,,,543877,,,6.964074448919346,-142.6576019596192,-3.5641703934596407,-11.190209594758956,27.889174814706376,-15.117844915165175,3.22,1.42,,,,98.9,2480.0,6.4,716368,643377,543877,666135,666397,456781,650489,670242,572191,596146,54.09,,,,,,,,39,5,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,211.0,0.0,0.041
8,CH,2023-09-30,91.5,-0.91,5.68,"Díaz, Elias",553869,643377,,foul,,,,,11,Elias Diaz walks.,R,R,R,COL,MIN,S,,,1,2,2023,-0.99,0.78,-0.88,2.32,,,,0,5,Bot,,,,,543877,,,2.2182717677600743,-133.30060877588593,-4.361356544949713,-12.378104540488511,25.690289565783093,-22.1842076657815,3.13,1.44,3.0,70.7,-42.0,92.1,2038.0,6.3,716368,643377,543877,666135,666397,456781,650489,670242,572191,596146,54.16,,,,,,,,39,4,Changeup,0,6,0,6,6,0,0,6,Standard,Standard,226.0,0.0,0.0
9,FF,2023-09-30,98.0,-0.88,5.62,"Díaz, Elias",553869,643377,,ball,,,,,12,Elias Diaz walks.,R,R,R,COL,MIN,B,,,0,2,2023,-0.4,1.16,1.4,2.97,,,,0,5,Bot,,,,,543877,,,7.106302125622827,-142.71221964472275,-4.40001109386825,-6.93300896216886,29.485335117218685,-15.48660780473589,3.17,1.43,,,,98.6,2544.0,6.3,716368,643377,543877,666135,666397,456781,650489,670242,572191,596146,54.16,,,,,,,,39,3,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,210.0,0.0,0.022
