,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
0,CH,2023-10-01,83.1,-1.63,5.91,"Doyle, Brenton",686668,641927,single,hit_into_play,,,,,4,"Brenton Doyle singles on a soft bunt ground ball to third baseman Donovan Solano.   Brenton Doyle to 2nd.  Brenton Doyle advances to 2nd, on a throwing error by third baseman Donovan Solano.",R,R,R,COL,MIN,X,5.0,ground_ball,0,0,2023,-1.07,0.22,-0.32,2.83,,,,1,6,Bot,114.7,187.65,,,680777,,,5.168051489419426,-121.04967654150109,-1.1640473834199012,-11.467371953345992,18.89432887048353,-29.920368681184645,3.42,1.64,8.0,35.5,-18.0,84.9,1971.0,6.9,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.56,0.246,0.227,0.9,1.0,1.0,0.0,1.0,44,1,Changeup,1,2,1,2,2,1,1,2,Standard,Standard,253.0,0.075,0.075
1,CH,2023-10-01,84.8,-1.45,5.97,"Doyle, Brenton",686668,641927,field_out,hit_into_play,,,,,9,"Brenton Doyle grounds out, third baseman Donovan Solano to first baseman Alex Kirilloff.",R,R,R,COL,MIN,X,5.0,ground_ball,2,2,2023,-1.21,0.56,0.4,2.11,,,,2,3,Bot,106.17,166.37,,,680777,,,6.839654959097632,-123.55257398481544,-4.075476148880696,-13.592741861326106,16.75592123245542,-25.835750243975948,3.42,1.64,36.0,92.5,-1.0,87.1,2040.0,7.0,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.5,0.289,0.26,0.0,1.0,0.0,0.0,2.0,22,5,Changeup,0,2,0,2,2,0,0,2,Standard,Strategic,251.0,-0.011,-0.09
2,FF,2023-10-01,91.7,-1.52,5.88,"Doyle, Brenton",686668,641927,,ball,,,,,11,"Brenton Doyle grounds out, third baseman Donovan Solano to first baseman Alex Kirilloff.",R,R,R,COL,MIN,B,,,1,2,2023,-0.59,0.91,-0.27,4.13,,,,2,3,Bot,,,,,680777,,,4.49260943294179,-133.72366882389966,-0.7158823632566456,-7.868978863105568,20.30143813853484,-21.04026178357286,3.43,1.64,,,,94.2,2314.0,7.0,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.52,,,,,,,,22,4,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Strategic,219.0,0.0,0.016
3,FF,2023-10-01,92.4,-1.42,5.91,"Doyle, Brenton",686668,641927,,foul_tip,,,,,3,"Brenton Doyle grounds out, third baseman Donovan Solano to first baseman Alex Kirilloff.",R,R,R,COL,MIN,S,,,1,1,2023,-0.7,1.01,0.32,2.99,,,,2,3,Bot,,,,,680777,,,6.020980636766693,-134.6635657336775,-4.028070563884505,-9.576155543542544,21.071508378469336,-19.16616705468566,3.42,1.64,,,,94.9,2381.0,7.0,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.45,,,,,,,,22,3,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Strategic,215.0,0.0,-0.027
4,FF,2023-10-01,91.7,-1.46,5.96,"Doyle, Brenton",686668,641927,,ball,,,,,11,"Brenton Doyle grounds out, third baseman Donovan Solano to first baseman Alex Kirilloff.",R,R,R,COL,MIN,B,,,0,1,2023,-0.32,1.06,-0.01,4.91,,,,2,3,Bot,,,,,680777,,,4.420252020900786,-133.70125874274208,0.7906936806302576,-4.555988649807233,20.64895629380801,-19.50096404452069,3.41,1.64,,,,94.2,2392.0,7.0,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.46,,,,,,,,22,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,209.0,0.0,0.012
5,FF,2023-10-01,92.4,-1.48,5.92,"Doyle, Brenton",686668,641927,,swinging_strike,,,,,2,"Brenton Doyle grounds out, third baseman Donovan Solano to first baseman Alex Kirilloff.",R,R,R,COL,MIN,S,,,0,0,2023,-0.56,1.04,0.12,3.0,,,,2,3,Bot,,,,,680777,,,5.391025266176668,-134.7163640662792,-4.125110764843246,-7.764514855446103,20.268617908850004,-18.7204189417767,3.42,1.64,,,,95.3,2360.0,7.2,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.29,,,,,,,,22,1,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Strategic,214.0,0.0,-0.017
6,SL,2023-10-01,91.6,-2.88,6.36,"Doyle, Brenton",686668,660896,strikeout,swinging_strike,,,,,14,Brenton Doyle strikes out swinging.,R,R,R,COL,MIN,S,2.0,,1,2,2023,0.04,0.24,1.48,1.15,,,,2,8,Bot,,,,,680777,,,10.84301355213718,-132.9660798930376,-7.858660612729832,-1.3797445664820445,22.448397456408472,-27.960713869265465,3.42,1.64,,,,91.6,2508.0,6.0,716359,660896,680777,543877,666397,456781,571657,650489,664057,656669,54.54,,,0.0,1.0,0.0,0.0,,62,4,Slider,2,2,2,2,2,2,2,2,Standard,Standard,196.0,-0.025,-0.074
7,FF,2023-10-01,96.7,-2.76,6.52,"Doyle, Brenton",686668,660896,,foul,,,,,5,Brenton Doyle strikes out swinging.,R,R,R,COL,MIN,S,,,1,1,2023,-1.0,0.97,0.02,2.41,,,,2,8,Bot,,,,,680777,,,9.597384499474945,-140.53623714041763,-7.616715312372289,-15.333156457166536,28.130990389802918,-17.825527533853034,3.42,1.64,269.0,84.3,48.0,96.3,2291.0,5.9,716359,660896,680777,543877,666397,456781,571657,650489,664057,656669,54.62,,,,,,,,62,3,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,219.0,0.0,-0.027
8,SI,2023-10-01,96.0,-2.79,6.48,"Doyle, Brenton",686668,660896,,foul,,,,,11,Brenton Doyle strikes out swinging.,R,R,R,COL,MIN,S,,,1,0,2023,-1.16,0.65,-0.61,3.69,,,,2,8,Bot,,,,,680777,,,8.355798605229225,-139.82494257169714,-3.3846691713674946,-16.909755344983413,24.738704987154502,-23.022111321801408,3.42,1.64,159.0,68.5,62.0,96.4,2080.0,6.0,716359,660896,680777,543877,666397,456781,571657,650489,664057,656669,54.49,,,,,,,,62,2,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,225.0,0.0,-0.022
9,FF,2023-10-01,99.1,-2.54,6.54,"Doyle, Brenton",686668,660896,,ball,,,,,12,Brenton Doyle strikes out swinging.,R,R,R,COL,MIN,B,,,0,0,2023,-0.91,1.06,1.38,3.05,,,,2,8,Bot,,,,,680777,,,12.694613783870873,-143.9115991841259,-6.634181960926076,-15.15552505209388,25.216885045289583,-15.97399945724009,3.41,1.71,,,,99.0,2545.0,5.8,716359,660896,680777,543877,666397,456781,571657,650489,664057,656669,54.7,,,,,,,,62,1,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,219.0,0.0,0.016
