,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
0,FC,2023-09-30,84.8,1.23,6.11,"Goodman, Hunter",696100,572971,strikeout,called_strike,,,,,6,Hunter Goodman called out on strikes.,R,R,L,COL,MIN,S,2.0,,1,2,2023,-0.24,0.64,0.71,2.62,,,666134.0,0,9,Bot,,,,,543877,,,-0.7460775561796505,-123.76268453008426,-3.2507418728883626,-2.38945530475309,19.529071126788818,-25.15368231207448,3.22,1.49,,,,85.0,2301,5.8,716368,572971,543877,656669,666397,456781,650489,664057,572191,670242,54.72,,,0.0,1.0,0.0,0.0,,85,4,Cutter,6,14,6,14,14,6,6,14,Standard,Standard,178,-0.001,-0.247
1,CH,2023-09-30,81.3,1.16,6.06,"Goodman, Hunter",696100,572971,,blocked_ball,,,,,13,Hunter Goodman called out on strikes.,R,R,L,COL,MIN,B,,,0,2,2023,0.85,0.48,-0.03,0.13,,,666134.0,0,9,Bot,,,,,543877,,,-4.259590038873898,-118.32069416526834,-7.682682181036698,8.747249700898376,18.66167079991835,-26.520696024303064,3.16,1.5,,,,81.4,1680,6.0,716368,572971,543877,656669,666397,456781,650489,664057,572191,670242,54.51,,,,,,,,85,3,Changeup,6,14,6,14,14,6,6,14,Standard,Standard,121,0.0,0.012
2,CH,2023-09-30,81.4,0.95,6.08,"Goodman, Hunter",696100,572971,,swinging_strike,,,,,14,Hunter Goodman called out on strikes.,R,R,L,COL,MIN,S,,,0,1,2023,0.88,0.31,0.3,1.33,,,666134.0,0,9,Bot,,,,,543877,,,-3.1111093572332016,-118.66246120867626,-4.7564521898853975,8.909157706326418,19.130750809342867,-28.603503145297665,3.25,1.5,,,,81.6,1710,5.9,716368,572971,543877,656669,666397,456781,650489,664057,572191,670242,54.55,,,,,,,,85,2,Changeup,6,14,6,14,14,6,6,14,Strategic,Standard,120,0.0,-0.064
3,SI,2023-09-30,86.6,1.0,6.17,"Goodman, Hunter",696100,572971,,foul,,,,,2,Hunter Goodman called out on strikes.,R,R,L,COL,MIN,S,,,0,0,2023,1.0,0.43,-0.26,2.8,,,666134.0,0,9,Bot,,,,,543877,,,-5.060115006885175,-126.14529716518936,-2.807376724967419,11.703116493421438,21.753653671831756,-27.221232898777163,3.25,1.5,169.0,73.7,68.0,87.0,2070,6.1,716368,572971,543877,656669,666397,456781,650489,664057,572191,670242,54.36,,,,,,,,85,1,Sinker,6,14,6,14,14,6,6,14,Strategic,Standard,135,0.0,-0.054
4,FF,2023-09-26,99.0,-1.53,6.02,"Goodman, Hunter",696100,676272,strikeout,foul_tip,,,,,11,Hunter Goodman strikes out on a foul tip.,R,R,R,COL,LAD,S,2.0,,1,2,2023,-0.87,1.18,-0.58,3.57,,,660707.0,2,7,Bot,,,,,669257,,,4.693232475882913,-144.26000929543085,-4.159559179189477,-13.26581162784887,29.16573098903466,-14.888615226387111,3.24,1.49,,,,101.1,2322,7.1,716424,676272,669257,518692,543939,621035,642708,444482,681546,571771,53.45,,,0.0,1.0,0.0,0.0,,67,4,4-Seam Fastball,2,10,2,10,10,2,2,10,Standard,Standard,212,0.0,-0.173
5,SL,2023-09-26,87.4,-1.78,5.87,"Goodman, Hunter",696100,676272,,called_strike,,,,,9,Hunter Goodman strikes out on a foul tip.,R,R,R,COL,LAD,S,,,1,1,2023,0.54,-0.16,0.39,1.6,,,660707.0,2,7,Bot,,,,,669257,,,4.206138220956811,-127.41190667018591,-3.986338654351764,5.188294712054047,22.04107127864093,-33.44609931412155,3.26,1.48,,,,89.7,2488,7.3,716424,676272,669257,518692,543939,621035,642708,444482,681546,571771,53.22,,,,,,,,67,3,Slider,2,10,2,10,10,2,2,10,Standard,Standard,113,0.0,-0.05
6,FF,2023-09-26,97.5,-1.88,5.86,"Goodman, Hunter",696100,676272,,swinging_strike,,,,,11,Hunter Goodman strikes out on a foul tip.,R,R,R,COL,LAD,S,,,1,0,2023,-0.9,1.17,-1.29,3.91,,,660707.0,2,7,Bot,,,,,669257,,,3.7106543307182633,-142.02924872337053,-2.5312667883545923,-13.014212354040394,28.414109742908625,-15.875404229252876,3.24,1.49,,,,99.7,2263,7.2,716424,676272,669257,518692,543939,621035,642708,444482,681546,571771,53.33,,,,,,,,67,2,4-Seam Fastball,2,10,2,10,10,2,2,10,Standard,Standard,217,0.0,-0.042
7,FF,2023-09-26,97.4,-2.03,5.84,"Goodman, Hunter",696100,676272,,ball,,,,,11,Hunter Goodman strikes out on a foul tip.,R,R,R,COL,LAD,B,,,0,0,2023,-0.89,1.09,-1.52,2.51,,,660707.0,2,7,Bot,,,,,669257,,,3.4607197354736754,-141.7947888572731,-6.088218290363874,-12.7692981158771,28.397588966899637,-16.22841057057309,3.31,1.48,,,,99.4,2315,7.1,716424,676272,669257,518692,543939,621035,642708,444482,681546,571771,53.38,,,,,,,,67,1,4-Seam Fastball,2,10,2,10,10,2,2,10,Standard,Standard,217,0.0,0.025
8,SL,2023-09-26,87.8,-1.62,5.89,"Goodman, Hunter",696100,676272,strikeout,swinging_strike_blocked,,,,,14,Hunter Goodman strikes out swinging.,R,R,R,COL,LAD,S,2.0,,1,2,2023,0.45,-0.07,1.7,0.78,,,,1,5,Bot,,,,,669257,,,7.2181154963750735,-127.8621006896214,-6.332257959033865,3.8339970577831215,20.904512119036077,-32.00996826887085,3.24,1.49,,,,89.9,2530,7.1,716424,676272,669257,518692,543939,621035,642708,444482,681546,571771,53.4,,,0.0,1.0,0.0,0.0,,44,5,Slider,1,7,1,7,7,1,1,7,Strategic,Strategic,83,-0.005,-0.119
9,SL,2023-09-26,87.9,-1.8,5.93,"Goodman, Hunter",696100,676272,,foul,,,,,6,Hunter Goodman strikes out swinging.,R,R,R,COL,LAD,S,,,1,2,2023,0.51,-0.02,0.8,2.64,,,,1,5,Bot,,,,,669257,,,5.34684776402476,-128.14009322375568,-2.00360839473227,4.868618691728975,20.43664619899381,-32.23160316932951,3.24,1.49,108.0,80.7,81.0,90.5,2495,7.3,716424,676272,669257,518692,543939,621035,642708,444482,681546,571771,53.24,,,,,,,,44,4,Slider,1,7,1,7,7,1,1,7,Strategic,Strategic,95,0.0,0.0
10,SI,2023-09-26,99.1,-1.89,5.92,"Goodman, Hunter",696100,676272,,swinging_strike,,,,,2,Hunter Goodman strikes out swinging.,R,R,R,COL,LAD,S,,,1,1,2023,-0.95,1.01,-0.26,3.28,,,,1,5,Bot,,,,,669257,,,6.744001261936923,-144.3497881784749,-4.280225969421663,-14.808953539907083,28.45974763688839,-17.164731441553254,3.24,1.49,,,,101.0,2393,7.0,716424,676272,669257,518692,543939,621035,642708,444482,681546,571771,53.55,,,,,,,,44,3,Sinker,1,7,1,7,7,1,1,7,Strategic,Standard,211,0.0,-0.043
11,SI,2023-09-26,99.7,-1.91,5.83,"Goodman, Hunter",696100,676272,,foul,,,,,7,Hunter Goodman strikes out swinging.,R,R,R,COL,LAD,S,,,1,0,2023,-1.01,1.26,-0.59,1.63,,,,1,5,Bot,,,,,669257,,,6.121672112040086,-145.03113812665916,-9.36942227947667,-15.596743124838282,27.759828502245213,-12.417169756106112,3.24,1.49,298.0,85.7,27.0,102.1,2360,7.2,716424,676272,669257,518692,543939,621035,642708,444482,681546,571771,53.28,,,,,,,,44,2,Sinker,1,7,1,7,7,1,1,7,Strategic,Standard,209,0.0,-0.031
12,CU,2023-09-26,80.4,-1.76,6.09,"Goodman, Hunter",696100,676272,,ball,,,,,12,Hunter Goodman strikes out swinging.,R,R,R,COL,LAD,B,,,0,0,2023,0.69,-1.0,1.42,2.62,,,,1,5,Bot,,,,,669257,,,5.837092306594753,-117.11313556404323,0.8357018410351877,5.444799583948673,19.734200277778665,-41.82490846685769,3.21,1.45,,,,82.2,2732,7.2,716424,676272,669257,518692,543939,621035,642708,444482,681546,571771,53.32,,,,,,,,44,1,Curveball,1,7,1,7,7,1,1,7,Standard,Standard,38,0.0,0.025
13,SL,2023-09-26,88.7,-1.8,5.93,"Goodman, Hunter",696100,676272,strikeout,swinging_strike_blocked,,,,,14,Hunter Goodman strikes out swinging.,R,R,R,COL,LAD,S,2.0,,1,2,2023,0.3,0.01,1.02,0.67,,,,0,3,Bot,,,,,669257,,,6.35986453547124,-129.13814758618295,-7.036801310748484,2.3372808133828507,21.995048421995666,-30.97308467743891,3.24,1.49,,,,90.8,2566,7.2,716424,676272,669257,518692,543939,621035,642708,444482,681546,571771,53.34,,,0.0,1.0,0.0,0.0,,24,4,Slider,0,5,0,5,5,0,0,5,Standard,Strategic,104,-0.014,-0.173
