,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
0,FC,2023-07-18,86.9,-1.71,5.83,"Hilliard, Sam",656541,605200,field_out,hit_into_play,,,,,6,"Sam Hilliard grounds out, third baseman Emmanuel Rivera to first baseman Christian Walker.",R,L,R,ATL,AZ,X,5.0,ground_ball,1,1,2023,-0.12,0.81,0.74,2.76,,,,0,2,Bot,113.46,141.77,,,608348,,,6.078717898747798,-126.51801552727513,-2.877107887424794,-2.3573087073196644,22.616911546420813,-23.084241792149736,3.64,1.77,126.0,51.3,24.0,86.9,2242.0,6.0,717358,605200,608348,572233,606466,656896,672695,666971,677950,682998,54.51,0.186,0.167,0.0,1.0,0.0,0.0,1.0,24,3,Cutter,5,7,5,7,7,5,5,7,Infield shade,Standard,213.0,-0.024,-0.228
1,FF,2023-07-18,88.1,-1.53,5.9,"Hilliard, Sam",656541,605200,,called_strike,,,,,8,"Sam Hilliard grounds out, third baseman Emmanuel Rivera to first baseman Christian Walker.",R,L,R,ATL,AZ,S,,,1,0,2023,-0.87,1.47,-0.06,1.58,,,,0,2,Bot,,,,,608348,,,5.320542954185356,-128.12776963169114,-7.436826283666099,-10.66831789477944,25.193225651466346,-14.59249406483853,3.46,1.57,,,,87.7,2182.0,6.0,717358,605200,608348,572233,606466,656896,672695,666971,677950,682998,54.53,,,,,,,,24,2,4-Seam Fastball,5,7,5,7,7,5,5,7,Infield shade,Standard,218.0,0.0,-0.046
2,SI,2023-07-18,87.5,-1.62,6.01,"Hilliard, Sam",656541,605200,,ball,,,,,13,"Sam Hilliard grounds out, third baseman Emmanuel Rivera to first baseman Christian Walker.",R,L,R,ATL,AZ,B,,,0,0,2023,-1.1,0.82,-1.03,2.22,,,,0,2,Bot,,,,,608348,,,3.669932316447424,-127.41242651307502,-4.705167936306065,-12.739513939316629,24.334179236104397,-22.526709934553967,3.55,1.68,,,,87.3,2044.0,5.9,717358,605200,608348,572233,606466,656896,672695,666971,677950,682998,54.56,,,,,,,,24,1,Sinker,5,7,5,7,7,5,5,7,Infield shade,Standard,213.0,0.0,0.036
3,FF,2023-07-16,96.4,-1.27,6.45,"Hilliard, Sam",656541,656302,strikeout,swinging_strike,,,,,1,Sam Hilliard strikes out swinging.,R,L,R,ATL,CWS,S,2.0,,2,2,2023,-0.15,1.47,-0.38,3.42,,,,0,5,Bot,,,,,664874,,,2.699799867774824,-140.35017551859124,-5.871910319054181,-2.595913867227908,29.329941542424727,-11.611459210096577,3.64,1.77,,,,96.6,2457.0,6.2,717391,656302,664874,683734,462101,669394,641313,643217,673357,657757,54.32,,,0.0,1.0,0.0,0.0,,45,5,4-Seam Fastball,1,6,1,6,6,1,1,6,Strategic,Standard,192.0,-0.013,-0.214
4,SL,2023-07-16,86.7,-1.63,6.0,"Hilliard, Sam",656541,656302,,ball,,,,,14,Sam Hilliard strikes out swinging.,R,L,R,ATL,CWS,B,,,1,2,2023,0.19,0.34,1.35,-0.16,,,,0,5,Bot,,,,,664874,,,6.743021726414703,-126.05018568519849,-9.297038635661911,0.868183096595492,21.668316850530747,-27.04850454032644,3.71,1.79,,,,87.4,2757.0,6.4,717391,656302,664874,683734,462101,669394,641313,643217,673357,657757,54.09,,,,,,,,45,4,Slider,1,6,1,6,6,1,1,6,Strategic,Standard,77.0,0.0,0.041
5,FF,2023-07-16,96.3,-1.1,6.36,"Hilliard, Sam",656541,656302,,foul,,,,,5,Sam Hilliard strikes out swinging.,R,L,R,ATL,CWS,S,,,1,1,2023,-0.15,1.53,0.09,2.43,,,,0,5,Bot,,,,,664874,,,3.5006347843355057,-140.0596307364297,-8.332375542160348,-2.806330593664993,30.862339507457087,-10.321341832013852,3.64,1.77,207.0,72.1,49.0,96.3,2515.0,6.3,717391,656302,664874,683734,462101,669394,641313,643217,673357,657757,54.21,,,,,,,,45,3,4-Seam Fastball,1,6,1,6,6,1,1,6,Strategic,Standard,190.0,0.0,-0.055
6,FF,2023-07-16,95.4,-1.41,6.41,"Hilliard, Sam",656541,656302,,ball,,,,,11,Sam Hilliard strikes out swinging.,R,L,R,ATL,CWS,B,,,0,1,2023,-0.11,1.6,-0.33,4.69,,,,0,5,Bot,,,,,664874,,,3.0659860885190677,-138.89671063542738,-2.4916995346154365,-2.069158885545032,31.03771861653925,-11.14038694517577,3.82,1.86,,,,95.1,2607.0,6.1,717391,656302,664874,683734,462101,669394,641313,643217,673357,657757,54.44,,,,,,,,45,2,4-Seam Fastball,1,6,1,6,6,1,1,6,Strategic,Standard,191.0,0.0,0.028
7,SL,2023-07-16,88.4,-1.79,6.04,"Hilliard, Sam",656541,656302,,swinging_strike,,,,,7,Sam Hilliard strikes out swinging.,R,L,R,ATL,CWS,S,,,0,0,2023,0.11,0.14,-0.38,1.75,,,,0,5,Bot,,,,,664874,,,3.219878448162304,-128.84187175086427,-4.750281283891956,0.6355064577837776,24.563616181850943,-29.92056171700114,3.64,1.77,,,,89.0,2769.0,6.4,717391,656302,664874,683734,462101,669394,641313,643217,673357,657757,54.14,,,,,,,,45,1,Slider,1,6,1,6,6,1,1,6,Strategic,Standard,154.0,0.0,-0.038
8,FF,2023-07-16,96.1,-1.28,6.44,"Hilliard, Sam",656541,656302,field_out,hit_into_play,,,,,6,Sam Hilliard flies out to left fielder Andrew Benintendi.,R,L,R,ATL,CWS,X,7.0,fly_ball,0,0,2023,-0.39,1.45,0.56,2.46,,,,0,3,Bot,79.2,76.66,,,664874,,,5.744694220191362,-139.7388219892978,-8.250145658703383,-6.415464694225559,29.81806520006599,-11.484768826590551,3.64,1.77,324.0,94.5,40.0,96.1,2624.0,6.2,717391,656302,664874,683734,462101,669394,641313,643217,673357,657757,54.27,0.029,0.043,0.0,1.0,0.0,0.0,3.0,25,1,4-Seam Fastball,0,4,0,4,4,0,0,4,Infield shade,Standard,192.0,-0.019,-0.238
9,FF,2023-05-23,100.0,-0.91,6.0,"Hilliard, Sam",656541,676272,strikeout,swinging_strike,,,,,4,Sam Hilliard strikes out swinging.,R,L,R,ATL,LAD,S,2.0,,1,2,2023,-1.11,1.23,-0.36,2.91,,,,0,5,Bot,,,,,669257,,,4.136916573624416,-145.58243040139337,-6.097354387753243,-16.733282835423058,33.31852009838746,-13.399718032441855,3.62,1.76,,,,100.8,2362.0,6.7,718057,676272,669257,518692,605141,571970,500743,444482,681546,518792,53.83,,,0.0,1.0,0.0,0.0,,41,4,4-Seam Fastball,1,4,1,4,4,1,1,4,Infield shade,Standard,222.0,-0.025,-0.173
10,CU,2023-05-23,81.9,-1.0,6.02,"Hilliard, Sam",656541,676272,,foul,,,,,13,Sam Hilliard strikes out swinging.,R,L,R,ATL,LAD,S,,,1,1,2023,0.86,-1.08,-0.93,2.63,,,,0,5,Bot,,,,,669257,,,-1.4984842223501136,-119.20818779932834,1.0485895411011386,8.456799754757037,23.874795696453354,-42.872024717808216,3.62,1.76,194.0,71.8,49.0,82.5,2789.0,6.7,718057,676272,669257,518692,605141,571970,500743,444482,681546,518792,53.76,,,,,,,,41,3,Curveball,1,4,1,4,4,1,1,4,Infield shade,Standard,45.0,0.0,-0.055
11,SI,2023-05-23,98.4,-0.85,5.94,"Hilliard, Sam",656541,676272,,called_strike,,,,,7,Sam Hilliard strikes out swinging.,R,L,R,ATL,LAD,S,,,1,0,2023,-1.28,1.11,-0.52,1.93,,,,0,5,Bot,,,,,669257,,,3.8853914826588394,-143.08247874744387,-8.042452115730354,-18.51202181522219,32.17044211374503,-15.33502488379189,3.79,1.76,,,,99.2,2292.0,6.7,718057,676272,669257,518692,605141,571970,500743,444482,681546,518792,53.8,,,,,,,,41,2,Sinker,1,4,1,4,4,1,1,4,Infield shade,Standard,226.0,0.0,-0.046
12,CH,2023-05-23,88.2,-0.84,5.94,"Hilliard, Sam",656541,676272,,ball,,,,,1,Sam Hilliard strikes out swinging.,R,L,R,ATL,LAD,B,,,0,0,2023,-1.41,0.56,-0.29,3.76,,,,0,5,Bot,,,,,669257,,,4.296730357706933,-128.39702733267015,-0.3846025243749317,-16.435752694960986,27.129648892229792,-26.11515871939301,3.66,1.78,,,,88.7,2224.0,6.6,718057,676272,669257,518692,605141,571970,500743,444482,681546,518792,53.85,,,,,,,,41,1,Changeup,1,4,1,4,4,1,1,4,Infield shade,Standard,242.0,0.0,0.036
13,CU,2023-05-23,81.0,-0.97,5.92,"Hilliard, Sam",656541,676272,strikeout,swinging_strike,,,,,14,Sam Hilliard strikes out swinging.,R,L,R,ATL,LAD,S,2.0,,0,2,2023,0.86,-1.11,0.14,1.57,,,645277.0,2,2,Bot,,,,,669257,,,0.8341627122339841,-117.90713187043444,-0.9022731566072008,7.753629411545366,24.457889199607603,-42.51128037722571,3.62,1.76,,,,81.7,2825.0,7.0,718057,676272,669257,518692,605141,571970,500743,444482,681546,518792,53.53,,,0.0,1.0,0.0,0.0,,22,3,Curveball,1,4,1,4,4,1,1,4,Infield shade,Standard,45.0,-0.021,-0.157
14,CH,2023-05-23,87.4,-0.82,5.97,"Hilliard, Sam",656541,676272,,foul,,,,,13,Sam Hilliard strikes out swinging.,R,L,R,ATL,LAD,S,,,0,1,2023,-1.5,0.42,-1.27,1.91,,,645277.0,2,2,Bot,,,,,669257,,,2.009446035882667,-127.26886167823928,-4.495073012853299,-16.67666241614166,26.85249650170905,-26.931493061012176,3.62,1.76,,,,87.7,2150.0,6.5,718057,676272,669257,518692,605141,571970,500743,444482,681546,518792,53.97,,,,,,,,22,2,Changeup,1,4,1,4,4,1,1,4,Infield shade,Standard,251.0,0.0,-0.046
15,FF,2023-05-23,98.5,-0.57,6.11,"Hilliard, Sam",656541,676272,,foul,,,,,6,Sam Hilliard strikes out swinging.,R,L,R,ATL,LAD,S,,,0,0,2023,-0.85,1.37,0.68,2.45,,,645277.0,2,2,Bot,,,,,669257,,,5.43359193411462,-143.19290581429902,-7.729810658890267,-12.944286403313882,33.2690941290386,-11.725293745826322,3.62,1.76,450.0,113.0,34.0,99.5,2398.0,6.9,718057,676272,669257,518692,605141,571970,500743,444482,681546,518792,53.6,,,,,,,,22,1,4-Seam Fastball,1,4,1,4,4,1,1,4,Infield shade,Standard,218.0,0.0,-0.038
16,FF,2023-05-23,96.6,-0.9,6.42,"Hilliard, Sam",656541,660813,field_out,hit_into_play,,,,,2,Sam Hilliard pops out to catcher Will Smith in foul territory.,R,L,R,ATL,LAD,X,2.0,popup,1,2,2023,-0.54,1.18,0.08,3.42,,,606115.0,2,7,Bot,116.72,213.48,,,669257,,,3.801928763189969,-140.65641298300204,-5.12010618550387,-8.003513692784848,28.41182797305592,-15.575600894383776,3.62,1.76,7.0,88.5,82.0,96.1,2094.0,5.7,718057,660813,669257,518692,605141,571970,500743,444482,681546,518792,54.76,0.001,0.0,0.0,1.0,0.0,0.0,3.0,60,5,4-Seam Fastball,1,5,1,5,5,1,1,5,Infield shade,Standard,218.0,-0.013,-0.173
17,SL,2023-05-23,87.6,-1.06,6.48,"Hilliard, Sam",656541,660813,,foul,,,,,8,Sam Hilliard pops out to catcher Will Smith in foul territory.,R,L,R,ATL,LAD,S,,,1,2,2023,0.54,-0.31,0.13,2.06,,,606115.0,2,7,Bot,,,,,669257,,,1.7418556487665169,-127.706150822207,-3.947683666411796,5.647857745301297,24.435117615322618,-34.996627304746234,3.62,1.76,3.0,85.0,-37.0,87.0,2534.0,5.6,718057,660813,669257,518692,605141,571970,500743,444482,681546,518792,54.86,,,,,,,,60,4,Slider,1,5,1,5,5,1,1,5,Infield shade,Standard,77.0,0.0,0.0
18,SL,2023-05-23,88.2,-1.21,6.4,"Hilliard, Sam",656541,660813,,swinging_strike,,,,,14,Sam Hilliard pops out to catcher Will Smith in foul territory.,R,L,R,ATL,LAD,S,,,1,1,2023,0.57,-0.12,1.54,1.48,,,606115.0,2,7,Bot,,,,,669257,,,5.447852626922506,-128.37523480247123,-5.6307307757375415,5.348365829643218,24.210758532381117,-32.635000371645006,3.62,1.76,,,,87.6,2607.0,5.7,718057,660813,669257,518692,605141,571970,500743,444482,681546,518792,54.82,,,,,,,,60,3,Slider,1,5,1,5,5,1,1,5,Infield shade,Standard,93.0,0.0,-0.05
19,FC,2023-05-23,94.8,-1.24,6.35,"Hilliard, Sam",656541,660813,,foul,,,,,12,Sam Hilliard pops out to catcher Will Smith in foul territory.,R,L,R,ATL,LAD,S,,,1,0,2023,0.08,1.16,0.93,2.96,,,606115.0,2,7,Bot,,,,,669257,,,5.430389330196578,-137.9896924818557,-5.7608032282679975,-0.0631671048773815,29.134679108558668,-16.310695661928758,3.62,1.76,230.0,70.5,48.0,94.2,2093.0,5.8,718057,660813,669257,518692,605141,571970,500743,444482,681546,518792,54.7,,,,,,,,60,2,Cutter,1,5,1,5,5,1,1,5,Infield shade,Standard,209.0,0.0,-0.042
