,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
0,FF,2023-10-01,91.6,-1.37,6.03,"Jones, Nolan",666134,641927,strikeout,swinging_strike,,,,,2,Nolan Jones strikes out swinging.,R,L,R,COL,MIN,S,2.0,,3,2,2023,-0.41,1.21,-0.07,3.75,,,,0,7,Bot,,,,,680777,,,4.236791551574103,-133.54016960334653,-2.690707053353941,-5.666971856590446,21.90962037501473,-17.20940501847599,3.83,1.82,,,,94.1,2415.0,7.1,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.4,,,0.0,1.0,0.0,0.0,,52,7,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,211.0,-0.049,-0.317
1,FF,2023-10-01,91.1,-1.34,6.01,"Jones, Nolan",666134,641927,,foul,,,,,1,Nolan Jones strikes out swinging.,R,L,R,COL,MIN,S,,,3,2,2023,-0.61,1.25,-0.42,3.25,,,,0,7,Bot,,,,,680777,,,3.660944000558453,-132.84058683122805,-3.913345398409436,-7.926619615625346,22.317641789171272,-16.60846679409228,3.83,1.82,204.0,76.4,60.0,93.2,2282.0,7.0,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.54,,,,,,,,52,6,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,215.0,0.0,0.0
2,SL,2023-10-01,80.1,-1.36,5.98,"Jones, Nolan",666134,641927,,ball,,,,,14,Nolan Jones strikes out swinging.,R,L,R,COL,MIN,B,,,2,2,2023,0.64,0.16,1.94,1.94,,,,0,7,Bot,,,,,680777,,,6.154437636730796,-116.64020956362144,-2.656670273009205,5.031433742564313,17.73865449608757,-30.491965728973664,3.78,1.71,,,,81.7,2156.0,6.9,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.62,,,,,,,,52,5,Slider,1,2,1,2,2,1,1,2,Infield shade,Standard,70.0,0.0,0.103
3,FF,2023-10-01,91.4,-1.45,5.95,"Jones, Nolan",666134,641927,,ball,,,,,11,Nolan Jones strikes out swinging.,R,L,R,COL,MIN,B,,,1,2,2023,-0.43,1.18,-0.05,4.75,,,,0,7,Bot,,,,,680777,,,4.52292940472408,-133.29422139519085,0.198545110381714,-6.002557837590529,23.360273777260005,-18.12322537214696,3.82,1.94,,,,93.5,2261.0,7.0,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.49,,,,,,,,52,4,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,213.0,0.0,0.041
4,FF,2023-10-01,91.4,-1.52,5.97,"Jones, Nolan",666134,641927,,swinging_strike,,,,,2,Nolan Jones strikes out swinging.,R,L,R,COL,MIN,S,,,1,1,2023,-0.48,1.08,-0.22,3.8,,,,0,7,Bot,,,,,680777,,,4.37388762170409,-133.24672010694266,-2.035653675694212,-6.610232653091869,24.62625201299546,-18.9268011924968,3.83,1.82,,,,93.3,2113.0,7.0,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.52,,,,,,,,52,3,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,220.0,0.0,-0.055
5,FF,2023-10-01,91.1,-1.42,5.98,"Jones, Nolan",666134,641927,,called_strike,,,,,3,Nolan Jones strikes out swinging.,R,L,R,COL,MIN,S,,,1,0,2023,-0.57,1.2,0.38,3.27,,,,0,7,Bot,,,,,680777,,,5.832606678303714,-132.64779655636582,-3.623668098783981,-7.899826388251151,23.20536876790836,-17.390853607280512,3.82,1.87,,,,93.0,2234.0,7.0,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.53,,,,,,,,52,2,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,216.0,0.0,-0.046
6,FF,2023-10-01,90.9,-1.49,5.93,"Jones, Nolan",666134,641927,,ball,,,,,12,Nolan Jones strikes out swinging.,R,L,R,COL,MIN,B,,,0,0,2023,-0.5,1.09,0.02,4.26,,,,0,7,Bot,,,,,680777,,,4.925632360096399,-132.5965656417343,-0.7461579801760653,-6.827379558827661,21.805220285389098,-19.155525219432548,3.85,1.75,,,,92.9,2343.0,6.9,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.64,,,,,,,,52,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,216.0,0.0,0.036
7,CH,2023-10-01,85.2,-1.61,6.01,"Jones, Nolan",666134,641927,home_run,hit_into_play,,,,,8,Nolan Jones homers (20) on a fly ball to center field.,R,L,R,COL,MIN,X,,fly_ball,1,2,2023,-1.21,0.33,-0.12,1.84,,,,2,4,Bot,154.24,15.28,,,680777,,,6.003155446069003,-124.066739711659,-4.323458204777183,-13.653161496272851,19.594982461705506,-28.171210281510497,3.83,1.82,458.0,107.6,31.0,86.9,2052.0,6.9,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.61,0.926,1.841,2.0,1.0,0.0,3.0,6.0,30,6,Changeup,0,2,0,2,2,1,1,2,Infield shade,Strategic,251.0,0.117,1.032
8,FF,2023-10-01,92.8,-1.37,5.97,"Jones, Nolan",666134,641927,,foul,,,,,3,Nolan Jones homers (20) on a fly ball to center field.,R,L,R,COL,MIN,S,,,1,2,2023,-0.55,1.24,0.45,3.56,,,,2,4,Bot,,,,,680777,,,5.972915850961573,-135.23042342022762,-3.2649233615319586,-7.910609761103798,22.632118120086822,-16.338764779233248,3.83,1.82,204.0,74.9,22.0,95.2,2380.0,7.1,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.39,,,,,,,,30,5,4-Seam Fastball,0,2,0,2,2,0,0,2,Infield shade,Strategic,211.0,0.0,0.0
9,FF,2023-10-01,92.3,-1.49,5.98,"Jones, Nolan",666134,641927,,foul,,,,,5,Nolan Jones homers (20) on a fly ball to center field.,R,L,R,COL,MIN,S,,,1,2,2023,-0.53,1.3,0.24,2.85,,,,2,4,Bot,,,,,680777,,,5.666698412504843,-134.45428430462,-5.14254687337341,-7.577271338040409,24.057789934266367,-15.475337779926091,3.83,1.82,198.0,67.4,50.0,94.6,2396.0,7.2,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.31,,,,,,,,30,4,4-Seam Fastball,0,2,0,2,2,0,0,2,Infield shade,Strategic,214.0,0.0,0.0
