,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
0,SL,2023-10-01,79.8,-1.32,5.95,"McMahon, Ryan",641857,641927,strikeout,swinging_strike,,,,,9,Ryan McMahon strikes out swinging.,R,L,R,COL,MIN,S,2.0,,1,2,2023,0.52,-0.01,0.76,2.15,,,,0,5,Bot,,,,,680777,,,3.645255413996185,-116.2663902290878,-1.731565263992123,4.219667374160009,18.637415239006383,-32.164022512004685,3.46,1.6,,,,81.5,1912.0,7.1,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.44,,,0.0,1.0,0.0,0.0,,35,4,Slider,1,2,1,2,2,1,1,2,Infield shade,Standard,68.0,-0.034,-0.173
1,CH,2023-10-01,84.9,-1.63,5.91,"McMahon, Ryan",641857,641927,,ball,,,,,13,Ryan McMahon strikes out swinging.,R,L,R,COL,MIN,B,,,0,2,2023,-1.32,0.24,-0.43,1.16,,,,0,5,Bot,,,,,680777,,,5.5231416101328135,-123.70327171259208,-5.538168630916047,-14.669165049132484,17.079541945996375,-29.03467930025944,3.54,1.66,,,,87.0,2156.0,6.9,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.62,,,,,,,,35,3,Changeup,1,2,1,2,2,1,1,2,Infield shade,Standard,253.0,0.0,0.022
2,CH,2023-10-01,84.3,-1.52,5.97,"McMahon, Ryan",641857,641927,,foul,,,,,14,Ryan McMahon strikes out swinging.,R,L,R,COL,MIN,S,,,0,1,2023,-1.21,0.13,0.88,1.27,,,,0,5,Bot,,,,,680777,,,8.072887712759462,-122.55611447836446,-4.962253298411566,-13.694463052448413,20.06432738023313,-30.18964792040452,3.46,1.6,2.0,73.1,-30.0,85.9,2115.0,7.0,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.52,,,,,,,,35,2,Changeup,1,2,1,2,2,1,1,2,Infield shade,Strategic,252.0,0.0,-0.049
3,FF,2023-10-01,91.1,-1.46,6.04,"McMahon, Ryan",641857,641927,,foul,,,,,2,Ryan McMahon strikes out swinging.,R,L,R,COL,MIN,S,,,0,0,2023,-0.73,1.13,0.05,2.91,,,,0,5,Bot,,,,,680777,,,5.422816734452666,-132.71331367817473,-4.532046300276856,-9.678805776985971,23.278969294928057,-18.05330202598877,3.46,1.6,194.0,74.0,65.0,93.1,2327.0,7.0,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.51,,,,,,,,35,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Strategic,213.0,0.0,-0.038
4,FF,2023-10-01,95.8,-2.99,6.51,"McMahon, Ryan",641857,660896,field_out,hit_into_play,,,,,14,"Ryan McMahon grounds out, third baseman Donovan Solano to first baseman Edouard Julien.",R,L,R,COL,MIN,X,5.0,ground_ball,0,0,2023,-0.86,1.05,1.08,2.5,,666134.0,592178.0,2,9,Bot,110.58,169.45,,,680777,,,12.566367075319237,-138.96152667555415,-7.341453818730728,-13.745255564164944,26.794028955242812,-16.999635154071772,3.46,1.6,24.0,48.9,-2.0,95.4,2488.0,6.0,716359,660896,680777,666397,543877,456781,571657,650489,664057,656669,54.55,0.126,0.122,0.0,1.0,0.0,0.0,1.0,71,1,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,219.0,-0.111,-0.472
5,CH,2023-10-01,84.2,-1.6,5.85,"McMahon, Ryan",641857,641927,field_out,hit_into_play,,,,,7,"Ryan McMahon grounds out, second baseman Edouard Julien to first baseman Alex Kirilloff.",R,L,R,COL,MIN,X,4.0,ground_ball,1,0,2023,-1.12,0.27,-0.74,2.04,,,,1,2,Bot,152.23,154.85,,,680777,,,4.273053478112545,-122.73687624948457,-3.1677422512705875,-12.142640618707985,20.158147079453872,-29.096342251781888,3.46,1.6,9.0,70.7,-13.0,86.0,1954.0,7.0,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.52,0.063,0.067,0.0,1.0,0.0,0.0,2.0,15,2,Changeup,0,2,0,2,2,0,0,2,Infield shade,Strategic,252.0,-0.017,-0.194
6,SL,2023-10-01,79.2,-1.55,5.85,"McMahon, Ryan",641857,641927,,ball,,,,,11,"Ryan McMahon grounds out, second baseman Edouard Julien to first baseman Alex Kirilloff.",R,L,R,COL,MIN,B,,,0,0,2023,0.85,0.16,-0.2,3.94,,,,1,2,Bot,,,,,680777,,,1.3875061445811168,-115.52265683265249,2.247623458367778,7.469477412428128,18.041011962137187,-31.249856637752718,3.54,1.61,,,,81.3,1952.0,7.2,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.28,,,,,,,,15,1,Slider,0,2,0,2,2,0,0,2,Infield shade,Standard,69.0,0.0,0.025
7,FF,2023-10-01,97.9,-1.96,5.61,"McMahon, Ryan",641857,592779,strikeout,swinging_strike,,,,,8,Ryan McMahon strikes out swinging.,R,L,R,COL,MIN,S,2.0,,2,2,2023,-0.4,1.04,-0.18,1.9,,,,2,7,Bot,,,,,680777,,,5.709546985322426,-142.481371070493,-7.006306939598911,-6.557782923911157,27.029866189280856,-16.673135213903784,3.46,1.6,,,,98.4,2594.0,6.2,716359,592779,680777,543877,666397,456781,571657,650489,664057,656669,54.3,,,0.0,1.0,0.0,0.0,,54,5,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Strategic,220.0,-0.023,-0.09
8,FF,2023-10-01,96.4,-1.97,5.66,"McMahon, Ryan",641857,592779,,called_strike,,,,,1,Ryan McMahon strikes out swinging.,R,L,R,COL,MIN,S,,,2,1,2023,-0.26,0.89,-0.59,3.31,,,,2,7,Bot,,,,,680777,,,4.25512429982747,-140.56557253965966,-2.834080241137059,-4.287005165336707,25.25545894823248,-19.860708853521967,3.64,1.66,,,,97.3,2546.0,6.3,716359,592779,680777,543877,666397,456781,571657,650489,664057,656669,54.25,,,,,,,,54,4,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,217.0,0.0,-0.031
9,FF,2023-10-01,97.3,-1.96,5.65,"McMahon, Ryan",641857,592779,,called_strike,,,,,11,Ryan McMahon strikes out swinging.,R,L,R,COL,MIN,S,,,2,0,2023,-0.51,1.08,-1.0,3.21,,,,2,7,Bot,,,,,680777,,,3.726370215335543,-141.84448381157665,-3.6095534170001824,-7.665620551591525,27.09930945109028,-16.829723855587954,3.48,1.74,,,,97.9,2586.0,6.1,716359,592779,680777,543877,666397,456781,571657,650489,664057,656669,54.35,,,,,,,,54,3,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,221.0,0.0,-0.023
10,FC,2023-10-01,97.0,-2.11,5.66,"McMahon, Ryan",641857,592779,,ball,,,,,11,Ryan McMahon strikes out swinging.,R,L,R,COL,MIN,B,,,1,0,2023,-0.06,1.0,-2.14,4.34,,,,2,7,Bot,,,,,680777,,,0.0685653357758408,-141.4964651158808,-0.396791443098483,-0.8519146381565637,26.2159568115538,-18.60132322815301,3.57,1.64,,,,97.7,2612.0,6.1,716359,592779,680777,543877,666397,456781,571657,650489,664057,656669,54.39,,,,,,,,54,2,Cutter,1,2,1,2,2,1,1,2,Infield shade,Strategic,213.0,0.0,0.022
11,FF,2023-10-01,97.5,-2.19,5.56,"McMahon, Ryan",641857,592779,,ball,,,,,11,Ryan McMahon strikes out swinging.,R,L,R,COL,MIN,B,,,0,0,2023,-0.72,0.94,-3.25,2.98,,,,2,7,Bot,,,,,680777,,,-1.1928176382178195,-142.1571446199078,-3.703631439952306,-9.660586048209474,26.375148100942745,-18.717796580807462,3.54,1.71,,,,98.1,2546.0,6.1,716359,592779,680777,543877,666397,456781,571657,650489,664057,656669,54.42,,,,,,,,54,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Strategic,224.0,0.0,0.016
