,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
0,CH,2023-10-01,83.8,-1.47,5.89,"Montero, Elehuris",660707,641927,strikeout,swinging_strike,,,,,14,Elehuris Montero strikes out swinging.,R,R,R,COL,MIN,S,2.0,,0,2,2023,-1.11,0.43,0.26,1.42,,,,1,5,Bot,,,,,680777,,,6.26255397784167,-121.96639856661407,-4.948109219664213,-12.23736194642675,19.419313414800243,-27.16750921784812,3.26,1.64,,,,85.7,2068.0,7.1,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.41,,,0.0,1.0,0.0,0.0,,36,4,Changeup,1,2,1,2,2,1,1,2,Standard,Strategic,258.0,-0.024,-0.107
1,SL,2023-10-01,79.9,-1.3,5.93,"Montero, Elehuris",660707,641927,,foul,,,,,14,Elehuris Montero strikes out swinging.,R,R,R,COL,MIN,S,,,0,2,2023,0.81,-0.3,0.93,2.4,,,,1,5,Bot,,,,,680777,,,3.446138041293291,-116.54609569125036,-0.6274653002393867,6.926037703269508,18.387433641808588,-34.99356656038465,3.26,1.64,253.0,82.0,51.0,81.8,1977.0,7.1,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.44,,,,,,,,36,3,Slider,1,2,1,2,2,1,1,2,Standard,Strategic,65.0,0.0,0.0
2,CH,2023-10-01,84.5,-1.45,6.0,"Montero, Elehuris",660707,641927,,swinging_strike,,,,,9,Elehuris Montero strikes out swinging.,R,R,R,COL,MIN,S,,,0,1,2023,-1.04,0.15,0.77,1.85,,,,1,5,Bot,,,,,680777,,,7.326623176947151,-123.12222298404131,-3.85179127572154,-11.845858632877729,17.32454725665009,-30.156036003368623,3.26,1.64,,,,86.6,2104.0,6.9,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.59,,,,,,,,36,2,Changeup,1,2,1,2,2,1,1,2,Standard,Strategic,251.0,0.0,-0.036
3,FF,2023-10-01,92.2,-1.31,5.97,"Montero, Elehuris",660707,641927,,foul_tip,,,,,2,Elehuris Montero strikes out swinging.,R,R,R,COL,MIN,S,,,0,0,2023,-0.2,1.17,0.15,3.21,,,,1,5,Bot,,,,,680777,,,4.207840166238997,-134.49968510881607,-3.965969374838573,-3.1294693491955705,21.88239509599333,-17.166655472216572,3.26,1.64,,,,94.6,2327.0,7.0,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.52,,,,,,,,36,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Strategic,213.0,0.0,-0.026
4,CH,2023-10-01,84.4,-1.48,5.82,"Montero, Elehuris",660707,641927,field_out,hit_into_play,,,,,8,Elehuris Montero flies out to right fielder Matt Wallner.,R,R,R,COL,MIN,X,9.0,fly_ball,3,2,2023,-1.17,0.25,-0.12,1.91,,,,2,2,Bot,194.41,74.75,,,680777,,,5.590486925224202,-122.94876613951632,-3.3894318395943177,-12.918288756876931,19.69040340535807,-29.21353121110396,3.26,1.64,350.0,95.6,42.0,86.3,1915.0,7.0,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.47,0.043,0.075,0.0,1.0,0.0,0.0,3.0,16,6,Changeup,0,2,0,2,2,0,0,2,Standard,Strategic,253.0,-0.011,-0.13
5,FF,2023-10-01,91.7,-1.48,5.88,"Montero, Elehuris",660707,641927,,ball,,,,,12,Elehuris Montero flies out to right fielder Matt Wallner.,R,R,R,COL,MIN,B,,,2,2,2023,-0.58,1.04,0.21,4.62,,,,2,2,Bot,,,,,680777,,,5.617996499620518,-133.58596213559682,0.3429935243878615,-8.015554102053843,23.97119094354842,-19.7615843235802,3.25,1.73,,,,93.8,2314.0,7.1,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.42,,,,,,,,16,5,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Strategic,214.0,0.0,0.04
6,CH,2023-10-01,83.6,-1.48,5.84,"Montero, Elehuris",660707,641927,,ball,,,,,14,Elehuris Montero flies out to right fielder Matt Wallner.,R,R,R,COL,MIN,B,,,1,2,2023,-0.99,0.14,1.05,1.72,,,,2,2,Bot,,,,,680777,,,7.904383755100548,-121.71466700630909,-3.5302432852215606,-11.223034053403824,18.597947751836404,-30.37596356432001,3.25,1.68,,,,85.8,1837.0,7.2,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.34,,,,,,,,16,4,Changeup,0,2,0,2,2,0,0,2,Standard,Strategic,254.0,0.0,0.016
7,CH,2023-10-01,84.0,-1.61,5.9,"Montero, Elehuris",660707,641927,,foul,,,,,2,Elehuris Montero flies out to right fielder Matt Wallner.,R,R,R,COL,MIN,S,,,1,1,2023,-0.93,0.23,0.07,2.89,,,,2,2,Bot,,,,,680777,,,5.808518777893905,-122.41717808148042,-1.181262817448135,-10.463937167330162,19.839578101012005,-29.778935434259164,3.26,1.64,14.0,81.4,-11.0,85.7,1948.0,6.9,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.58,,,,,,,,16,3,Changeup,0,2,0,2,2,0,0,2,Standard,Strategic,252.0,0.0,-0.027
8,SL,2023-10-01,78.0,-1.54,5.85,"Montero, Elehuris",660707,641927,,ball,,,,,11,Elehuris Montero flies out to right fielder Matt Wallner.,R,R,R,COL,MIN,B,,,0,1,2023,1.1,-0.11,-1.06,4.22,,,,2,2,Bot,,,,,680777,,,-1.0039514896331778,-113.69424880084676,3.4741146648670087,9.840297415828566,15.06392978600148,-33.78125568448005,3.36,1.61,,,,80.1,2040.0,7.1,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.44,,,,,,,,16,2,Slider,0,2,0,2,2,0,0,2,Standard,Strategic,72.0,0.0,0.012
9,CH,2023-10-01,83.9,-1.65,5.93,"Montero, Elehuris",660707,641927,,called_strike,,,,,1,Elehuris Montero flies out to right fielder Matt Wallner.,R,R,R,COL,MIN,S,,,0,0,2023,-0.77,0.25,-0.33,3.04,,,,2,2,Bot,,,,,680777,,,4.641614968290328,-122.35085052312212,-0.947024305125133,-8.577310306443275,18.269872317579733,-29.65055602690841,3.31,1.66,,,,86.1,1837.0,7.0,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.46,,,,,,,,16,1,Changeup,0,2,0,2,2,0,0,2,Standard,Strategic,256.0,0.0,-0.017
