,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
0,CH,2023-10-01,83.9,-1.58,5.89,"Rodgers, Brendan",663898,641927,field_out,hit_into_play,,,,,4,Brendan Rodgers flies out to center fielder Andrew Stevenson.,R,R,R,COL,MIN,X,8.0,fly_ball,1,1,2023,-1.05,0.13,-0.52,2.5,686668.0,,,2,6,Bot,165.42,53.99,,,680777,,,4.584294968513301,-122.3979446228162,-1.9387744568064749,-11.396872554838186,15.92516340473595,-30.69383232575236,3.34,1.56,371.0,99.0,26.0,86.4,1945.0,7.0,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.48,0.454,0.735,0.0,1.0,0.0,0.0,6.0,46,3,Changeup,1,2,1,2,2,1,1,2,Standard,Standard,254.0,-0.068,-0.346
1,FF,2023-10-01,91.2,-1.39,5.98,"Rodgers, Brendan",663898,641927,,swinging_strike,,,,,5,Brendan Rodgers flies out to center fielder Andrew Stevenson.,R,R,R,COL,MIN,S,,,1,0,2023,-0.78,0.98,0.03,2.35,686668.0,,,2,6,Bot,,,,,680777,,,5.3335230264798,-132.96239182991505,-5.608982820680195,-10.205396605262028,19.70452845280899,-19.614414564553368,3.34,1.56,,,,94.0,2189.0,7.2,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.32,,,,,,,,46,2,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,213.0,0.0,-0.042
2,CU,2023-10-01,74.6,-1.31,6.09,"Rodgers, Brendan",663898,641927,,ball,,,,,11,Brendan Rodgers flies out to center fielder Andrew Stevenson.,R,R,R,COL,MIN,B,,,0,0,2023,0.8,-0.61,-0.26,3.87,686668.0,,,2,6,Bot,,,,,680777,,,0.7682720982424319,-108.78252463736943,3.6045995622222566,6.346776540512625,15.166630404962438,-37.73342434737759,3.33,1.52,,,,76.4,2142.0,7.0,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.49,,,,,,,,46,1,Curveball,1,2,1,2,2,1,1,2,Standard,Standard,42.0,0.0,0.033
3,FF,2023-10-01,91.7,-1.31,6.01,"Rodgers, Brendan",663898,641927,strikeout,swinging_strike,,,,,11,Brendan Rodgers strikes out swinging.,R,R,R,COL,MIN,S,2.0,,3,2,2023,-0.68,1.16,-0.48,3.93,,,,1,4,Bot,,,,,680777,,,3.612885650019496,-133.66839998001845,-2.0083805399921117,-8.880998044512088,25.285757469548063,-17.96963892023644,3.34,1.56,,,,93.7,2299.0,7.1,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.37,,,0.0,1.0,0.0,0.0,,29,9,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Strategic,212.0,-0.019,-0.207
4,FF,2023-10-01,92.2,-1.38,5.95,"Rodgers, Brendan",663898,641927,,foul,,,,,2,Brendan Rodgers strikes out swinging.,R,R,R,COL,MIN,S,,,3,2,2023,-0.68,1.01,-0.13,2.86,,,,1,4,Bot,,,,,680777,,,4.743067456316431,-134.37741049853972,-4.446272917514648,-9.201960548625228,22.24676771604894,-19.104315177261995,3.34,1.56,287.0,80.5,40.0,94.9,2301.0,7.3,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.22,,,,,,,,29,8,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Strategic,212.0,0.0,0.0
5,FF,2023-10-01,92.1,-1.39,5.94,"Rodgers, Brendan",663898,641927,,foul,,,,,1,Brendan Rodgers strikes out swinging.,R,R,R,COL,MIN,S,,,3,2,2023,-0.74,1.1,-0.54,3.22,,,,1,4,Bot,,,,,680777,,,3.8259594209035,-134.2510064812525,-3.678073541383009,-9.71571186150888,21.58704680227773,-18.18153616163954,3.34,1.56,214.0,77.5,22.0,94.7,2247.0,7.1,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.37,,,,,,,,29,7,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Strategic,220.0,0.0,0.0
6,CH,2023-10-01,84.6,-1.47,5.94,"Rodgers, Brendan",663898,641927,,foul,,,,,9,Brendan Rodgers strikes out swinging.,R,R,R,COL,MIN,S,,,3,2,2023,-1.25,0.22,0.46,1.5,,,,1,4,Bot,,,,,680777,,,7.078782218871512,-123.18808452466038,-4.669270755760808,-13.99138221843571,17.449576953226497,-29.361412425258003,3.34,1.56,3.0,45.7,-32.0,86.8,2179.0,7.0,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.5,,,,,,,,29,6,Changeup,0,2,0,2,2,0,0,2,Standard,Strategic,246.0,0.0,0.0
7,FF,2023-10-01,91.4,-1.33,6.02,"Rodgers, Brendan",663898,641927,,ball,,,,,12,Brendan Rodgers strikes out swinging.,R,R,R,COL,MIN,B,,,2,2,2023,-0.36,1.11,0.98,2.83,,,,1,4,Bot,,,,,680777,,,6.714993655113137,-133.2523188793022,-4.825880087832951,-5.416427584412167,19.85338902873153,-18.008516450170575,3.33,1.54,,,,94.2,2230.0,7.1,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.37,,,,,,,,29,5,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Strategic,212.0,0.0,0.059
8,CH,2023-10-01,83.6,-1.46,5.94,"Rodgers, Brendan",663898,641927,,called_strike,,,,,12,Brendan Rodgers strikes out swinging.,R,R,R,COL,MIN,S,,,2,1,2023,-1.03,0.2,0.92,2.45,,,,1,4,Bot,,,,,680777,,,7.623406820361906,-121.81035552040991,-2.23003932133597,-11.554076104819991,16.88581075962218,-29.99851753212766,3.3,1.53,,,,85.7,1912.0,6.9,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.6,,,,,,,,29,4,Changeup,0,2,0,2,2,0,0,2,Standard,Strategic,255.0,0.0,-0.048
9,CH,2023-10-01,83.1,-1.56,5.92,"Rodgers, Brendan",663898,641927,,ball,,,,,8,Brendan Rodgers strikes out swinging.,R,R,R,COL,MIN,B,,,1,1,2023,-1.21,0.09,0.2,1.66,,,,1,4,Bot,,,,,680777,,,6.478339525965869,-120.93886101719788,-3.613008906811534,-13.07585934717223,19.059526814644897,-30.849304767216758,3.33,1.58,,,,84.7,1903.0,6.9,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.59,,,,,,,,29,3,Changeup,0,2,0,2,2,0,0,2,Standard,Strategic,252.0,0.0,0.034
10,SL,2023-10-01,78.5,-1.3,5.98,"Rodgers, Brendan",663898,641927,,foul,,,,,3,Brendan Rodgers strikes out swinging.,R,R,R,COL,MIN,S,,,1,0,2023,1.34,0.07,0.51,2.96,,,,1,4,Bot,,,,,680777,,,1.4735551116720944,-114.42105850079687,0.1202464271643688,11.585131118844076,19.401054001221645,-31.770457327014,3.34,1.56,92.0,63.8,79.0,79.8,1993.0,6.9,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.61,,,,,,,,29,2,Slider,0,2,0,2,2,0,0,2,Standard,Strategic,66.0,0.0,-0.031
11,SL,2023-10-01,77.5,-1.44,5.93,"Rodgers, Brendan",663898,641927,,ball,,,,,11,Brendan Rodgers strikes out swinging.,R,R,R,COL,MIN,B,,,0,0,2023,0.99,-0.04,-1.31,4.42,,,,1,4,Bot,,,,,680777,,,-1.5380335501886415,-112.9953212174874,3.665844513130568,8.83212921541641,15.932753620699865,-33.17444441924183,3.33,1.57,,,,79.5,2031.0,7.1,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.44,,,,,,,,29,1,Slider,0,2,0,2,2,0,0,2,Infield shade,Strategic,67.0,0.0,0.025
12,SL,2023-10-01,89.5,-2.92,6.51,"Rodgers, Brendan",663898,660896,strikeout,swinging_strike,,,,,14,Brendan Rodgers strikes out swinging.,R,R,R,COL,MIN,S,2.0,,0,2,2023,0.09,0.11,0.96,1.56,,,,1,9,Bot,,,,,680777,,,9.31322780912579,-130.00407663280768,-6.432559147719387,-0.8913815985379754,26.163940271463456,-29.74657450344715,3.34,1.56,,,,89.0,2601.0,6.0,716359,660896,680777,666397,543877,456781,571657,650489,664057,656669,54.49,,,0.0,1.0,0.0,0.0,,68,3,Slider,2,2,2,2,2,2,2,2,Standard,Standard,210.0,-0.044,-0.107
13,SI,2023-10-01,96.7,-2.76,6.53,"Rodgers, Brendan",663898,660896,,foul,,,,,11,Brendan Rodgers strikes out swinging.,R,R,R,COL,MIN,S,,,0,1,2023,-1.23,0.55,-0.85,2.61,,,,1,9,Bot,,,,,680777,,,7.817990492074715,-140.67396380074743,-6.232445691763051,-17.92833357565768,25.196491342393823,-23.769552785954694,3.34,1.56,,,,96.8,2175.0,5.9,716359,660896,680777,666397,543877,456781,571657,650489,664057,656669,54.61,,,,,,,,68,2,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,220.0,0.0,-0.036
14,SL,2023-10-01,87.9,-2.88,6.51,"Rodgers, Brendan",663898,660896,,called_strike,,,,,5,Brendan Rodgers strikes out swinging.,R,R,R,COL,MIN,S,,,0,0,2023,0.16,0.09,-0.05,2.8,,,,1,9,Bot,,,,,680777,,,6.444242877190729,-128.01740825189106,-3.145739538023395,0.6905373166833103,22.46094709270847,-30.83268890852232,3.43,1.52,,,,87.7,2560.0,5.8,716359,660896,680777,666397,543877,456781,571657,650489,664057,656669,54.7,,,,,,,,68,1,Slider,2,2,2,2,2,2,2,2,Standard,Standard,162.0,0.0,-0.026
15,FF,2023-10-01,91.4,-1.49,5.87,"Rodgers, Brendan",663898,641927,strikeout,swinging_strike,,,,,3,Brendan Rodgers strikes out swinging.,R,R,R,COL,MIN,S,2.0,,3,2,2023,-0.53,1.19,0.77,2.79,,,,1,1,Bot,,,,,680777,,,6.942373147175337,-132.99643935535414,-4.598041017173644,-7.628834948389037,24.200423467033293,-17.190675340752403,3.34,1.56,,,,93.2,2301.0,7.0,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.49,,,0.0,1.0,0.0,0.0,,5,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,214.0,-0.016,-0.207
16,FF,2023-10-01,91.6,-1.44,5.84,"Rodgers, Brendan",663898,641927,,ball,,,,,12,Brendan Rodgers strikes out swinging.,R,R,R,COL,MIN,B,,,2,2,2023,-0.43,1.18,1.27,2.8,,,,1,1,Bot,,,,,680777,,,7.886158422355696,-133.37634654149102,-4.506093213758004,-6.632661544019126,23.849453256597677,-17.221586137836663,3.33,1.57,,,,93.4,2332.0,6.9,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.56,,,,,,,,5,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,215.0,0.0,0.059
17,FF,2023-10-01,90.7,-1.62,5.75,"Rodgers, Brendan",663898,641927,,ball,,,,,3,Brendan Rodgers strikes out swinging.,R,R,R,COL,MIN,B,,,1,2,2023,-0.45,1.2,0.76,3.03,,,,1,1,Bot,,,,,680777,,,7.051149659669928,-132.09898812498315,-3.5927853779685237,-6.598250585628394,23.43871090297672,-17.49852618415305,3.33,1.57,,,,92.8,2314.0,7.1,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.37,,,,,,,,5,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,219.0,0.0,0.029
18,CH,2023-10-01,83.0,-1.59,5.84,"Rodgers, Brendan",663898,641927,,foul,,,,,7,Brendan Rodgers strikes out swinging.,R,R,R,COL,MIN,S,,,1,1,2023,-1.27,0.18,-0.56,1.82,,,,1,1,Bot,,,,,680777,,,4.92432871450059,-121.02626018571937,-3.2609832829055723,-13.469405028041551,18.74733903671521,-30.055559911609603,3.34,1.56,8.0,88.0,-14.0,85.0,1938.0,7.0,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.49,,,,,,,,5,3,Changeup,0,0,0,0,0,0,0,0,Standard,Strategic,258.0,0.0,-0.043
19,EP,2023-10-01,63.5,-2.63,5.83,"Rodgers, Brendan",663898,656669,stolen_base_3b,ball,,,,,14,Brenton Doyle steals (22) 3rd base.   Brenton Doyle scores.  Wild pitch by pitcher Jordan Luplow.,R,R,R,COL,MIN,B,,,0,0,2023,0.09,1.34,0.34,0.55,,686668.0,,1,11,Bot,,,,,680777,,,4.977793481899511,-92.3770707278962,-2.826520385683571,-0.1735942879311887,12.355414518635408,-24.273798236826547,3.66,1.61,,,,62.6,1766.0,5.3,716359,656669,680777,666397,543877,456781,571657,650489,664057,663616,55.23,,,0.0,0.0,0.0,0.0,,85,1,Eephus,2,2,2,2,2,3,3,2,Standard,Standard,216.0,0.301,0.58
20,CH,2023-10-01,83.3,-1.59,5.88,"Rodgers, Brendan",663898,641927,,ball,,,,,14,Brendan Rodgers strikes out swinging.,R,R,R,COL,MIN,B,,,0,1,2023,-0.99,0.16,1.13,0.9,,,,1,1,Bot,,,,,680777,,,8.29317426750571,-121.26957956179275,-5.582843435977168,-11.077004957297572,15.61181323593846,-29.884690065039173,3.33,1.57,,,,85.6,2102.0,7.0,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.52,,,,,,,,5,2,Changeup,0,0,0,0,0,0,0,0,Standard,Strategic,251.0,0.0,0.019
