,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
0,SI,2023-10-04,90.5,-1.95,5.08,"Stallings, Jacob",607732,605400,grounded_into_double_play,hit_into_play,,,,,9,"Jacob Stallings grounds into a double play, shortstop Trea Turner to second baseman Bryson Stott to first baseman Bryce Harper.   Jon Berti out at 2nd.    Jacob Stallings out at 1st.",F,R,R,PHI,MIA,X,6.0,ground_ball,2,2,2023,-1.33,0.75,0.38,1.9,,,542932.0,0,6,Top,109.23,151.19,,,592663,,,8.748677579823903,-131.45353709056502,-3.6093549874090094,-17.245838610414285,27.74455553464413,-22.85013516048247,3.1,1.37,115.0,100.3,5.0,91.4,2152.0,6.9,748575,605400,592663,547180,681082,664761,607208,665506,679032,592206,53.57,0.597,0.576,0.0,1.0,0.0,0.0,4.0,38,5,Sinker,3,0,0,3,0,3,0,3,Standard,Standard,226.0,0.077,-0.486
1,KC,2023-10-04,79.7,-1.98,5.3,"Stallings, Jacob",607732,605400,,blocked_ball,,,,,14,"Jacob Stallings grounds into a double play, shortstop Trea Turner to second baseman Bryson Stott to first baseman Bryce Harper.   Jon Berti out at 2nd.    Jacob Stallings out at 1st.",F,R,R,PHI,MIA,B,,,1,2,2023,0.91,-1.1,1.44,0.44,,,542932.0,0,6,Top,,,,,592663,,,5.914694680364713,-115.80735328107212,-1.7707939886310398,6.826307844860402,24.920000032519116,-41.84456484743202,3.19,1.37,,,,80.8,2656.0,7.5,748575,605400,592663,547180,681082,664761,607208,665506,679032,592206,53.03,,,,,,,,38,4,Knuckle Curve,3,0,0,3,0,3,0,3,Standard,Standard,48.0,0.0,0.068
2,KC,2023-10-04,80.1,-2.04,5.2,"Stallings, Jacob",607732,605400,,blocked_ball,,,,,14,"Jacob Stallings grounds into a double play, shortstop Trea Turner to second baseman Bryson Stott to first baseman Bryce Harper.   Jon Berti out at 2nd.    Jacob Stallings out at 1st.",F,R,R,PHI,MIA,B,,,0,2,2023,0.86,-0.93,1.05,0.7,,,542932.0,0,6,Top,,,,,592663,,,5.3070077785058105,-116.47871371078222,-1.4015004772181447,6.691044552872973,23.7842824278062,-40.49966308140403,3.19,1.39,,,,81.3,2480.0,7.3,748575,605400,592663,547180,681082,664761,607208,665506,679032,592206,53.19,,,,,,,,38,3,Knuckle Curve,3,0,0,3,0,3,0,3,Standard,Standard,55.0,0.0,0.012
3,CH,2023-10-04,84.3,-2.08,4.98,"Stallings, Jacob",607732,605400,,called_strike,,,,,4,"Jacob Stallings grounds into a double play, shortstop Trea Turner to second baseman Bryson Stott to first baseman Bryce Harper.   Jon Berti out at 2nd.    Jacob Stallings out at 1st.",F,R,R,PHI,MIA,S,,,0,1,2023,-1.27,0.13,-0.57,2.06,,,542932.0,0,6,Top,,,,,592663,,,6.10124168706384,-122.66719508854727,-0.6632737036432652,-13.983223390319838,24.212094986199432,-30.920053993890757,3.22,1.37,,,,85.3,1533.0,6.9,748575,605400,592663,547180,681082,664761,607208,665506,679032,592206,53.55,,,,,,,,38,2,Changeup,3,0,0,3,0,3,0,3,Standard,Standard,256.0,0.0,-0.064
4,SI,2023-10-04,89.0,-1.93,5.19,"Stallings, Jacob",607732,605400,,called_strike,,,,,4,"Jacob Stallings grounds into a double play, shortstop Trea Turner to second baseman Bryson Stott to first baseman Bryce Harper.   Jon Berti out at 2nd.    Jacob Stallings out at 1st.",F,R,R,PHI,MIA,S,,,0,0,2023,-1.42,0.79,-0.35,2.71,,,542932.0,0,6,Top,,,,,592663,,,6.979401905337911,-129.49448960182733,-1.71541889038261,-17.38791474713459,27.72031239085576,-23.177687751063843,3.27,1.52,,,,90.6,2231.0,7.3,748575,605400,592663,547180,681082,664761,607208,665506,679032,592206,53.19,,,,,,,,38,1,Sinker,3,0,0,3,0,3,0,3,Standard,Standard,226.0,0.0,-0.054
5,SI,2023-10-04,93.8,-1.84,5.18,"Stallings, Jacob",607732,605400,field_out,hit_into_play,,,,,8,"Jacob Stallings grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",F,R,R,PHI,MIA,X,5.0,ground_ball,3,2,2023,-1.64,0.72,0.19,1.88,,,,2,3,Top,107.71,169.51,,,592663,,,9.044186416309206,-136.31208432397756,-4.452620601284591,-22.45258906495879,30.102794394275964,-22.429282916712804,3.1,1.37,1.0,69.1,-57.0,95.3,2381.0,7.2,748575,605400,592663,547180,681082,664761,607208,665506,679032,592206,53.26,0.28,0.252,0.0,1.0,0.0,0.0,2.0,16,6,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,225.0,0.011,-0.13
6,FF,2023-10-04,93.4,-1.87,5.16,"Stallings, Jacob",607732,605400,,ball,,,,,14,"Jacob Stallings grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",F,R,R,PHI,MIA,B,,,2,2,2023,-1.11,1.29,1.87,2.37,,542932.0,,1,3,Top,,,,,592663,,,12.28884140721295,-135.51769056172432,-4.307501390256572,-16.321465357703218,28.93027496092951,-15.503254050882402,3.24,1.52,,,,95.0,2293.0,7.3,748575,605400,592663,547180,681082,664761,607208,665506,679032,592206,53.16,,,,,,,,16,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,224.0,0.0,0.111
7,KC,2023-10-04,81.4,-2.05,5.21,"Stallings, Jacob",607732,605400,,ball,,,,,14,"Jacob Stallings grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",F,R,R,PHI,MIA,B,,,1,2,2023,1.28,-0.94,0.78,1.02,,542932.0,,1,3,Top,,,,,592663,,,3.9492545855852073,-118.44140152122296,-0.906726901073148,11.104592311022396,25.31109163484808,-40.95726370274197,3.22,1.5,,,,82.5,2737.0,7.3,748575,605400,592663,547180,681082,664761,607208,665506,679032,592206,53.22,,,,,,,,16,4,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,55.0,0.0,0.049
8,KC,2023-10-04,79.8,-1.97,5.3,"Stallings, Jacob",607732,605400,,foul,,,,,2,"Jacob Stallings grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",F,R,R,PHI,MIA,S,,,1,1,2023,1.23,-0.91,-0.22,2.97,,542932.0,,1,3,Top,,,,,592663,,,1.544898437030815,-116.04253918624364,3.4989539168376664,10.74456465315584,23.732360075120308,-41.25238672217933,3.1,1.37,209.0,74.8,51.0,81.4,2820.0,7.6,748575,605400,592663,547180,681082,664761,607208,665506,679032,592206,52.9,,,,,,,,16,3,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,56.0,0.0,-0.096
9,SI,2023-10-04,91.8,-1.89,5.14,"Stallings, Jacob",607732,605400,,ball,,,,,9,"Jacob Stallings grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",F,R,R,PHI,MIA,B,,,0,1,2023,-1.47,0.94,0.7,1.63,,542932.0,,1,3,Top,,,,,592663,,,9.85693178400658,-133.25251198530705,-5.107683643112498,-19.607136663168696,28.628390578535907,-20.061684631881896,3.22,1.47,,,,92.9,2352.0,7.1,748575,605400,592663,547180,681082,664761,607208,665506,679032,592206,53.4,,,,,,,,16,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,227.0,0.0,0.03
10,FF,2023-10-04,93.9,-1.93,5.09,"Stallings, Jacob",607732,605400,,called_strike,,,,,14,"Jacob Stallings grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",F,R,R,PHI,MIA,S,,,0,0,2023,-1.11,1.4,0.88,2.02,,542932.0,,1,3,Top,,,,,592663,,,9.83225819311108,-136.2828947330863,-5.32130523631124,-16.05894669113745,31.35488484464252,-13.753911781889162,3.24,1.45,,,,94.6,2541.0,7.0,748575,605400,592663,547180,681082,664761,607208,665506,679032,592206,53.53,,,,,,,,16,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,226.0,0.0,-0.047
11,FF,2023-10-01,94.8,-1.56,5.95,"Stallings, Jacob",607732,656578,field_out,hit_into_play,,,,,6,Jacob Stallings lines out to left fielder Jack Suwinski.,R,R,R,PIT,MIA,X,7.0,line_drive,3,1,2023,-0.82,1.54,0.43,2.27,,,621563.0,1,2,Top,68.54,80.3,,,641511,,,7.073360348806835,-137.8646248426246,-7.491705540058198,-11.905518339888532,28.190393399995084,-11.08119953864986,3.09,1.39,326.0,98.1,20.0,96.0,2267.0,6.8,716362,656578,641511,656582,693304,669707,678894,669261,678225,609280,53.68,0.311,0.365,0.0,1.0,0.0,0.0,4.0,10,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,207.0,0.029,-0.454
12,FF,2023-10-01,94.9,-1.57,6.05,"Stallings, Jacob",607732,656578,,called_strike,,,,,2,Jacob Stallings lines out to left fielder Jack Suwinski.,R,R,R,PIT,MIA,S,,,3,0,2023,-1.05,1.29,0.17,3.15,,,621563.0,1,2,Top,,,,,641511,,,6.94056119078332,-138.05557915863537,-4.890019967467636,-14.892911076695052,27.374639158791386,-14.76922310037549,3.12,1.39,,,,96.1,2088.0,6.8,716362,656578,641511,656582,693304,669707,678894,669261,678225,609280,53.74,,,,,,,,10,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,215.0,0.0,-0.085
13,FF,2023-10-01,94.6,-1.64,6.03,"Stallings, Jacob",607732,656578,,ball,,,,,12,Jacob Stallings lines out to left fielder Jack Suwinski.,R,R,R,PIT,MIA,B,,,2,0,2023,-1.11,1.27,0.24,3.45,,,621563.0,1,2,Top,,,,,641511,,,7.432143310224029,-137.67674432459617,-3.936939197995597,-15.71952251987754,27.810929769234345,-15.331132485059468,3.09,1.31,,,,95.7,2236.0,6.7,716362,656578,641511,656582,693304,669707,678894,669261,678225,609280,53.79,,,,,,,,10,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,211.0,0.0,0.13
14,SL,2023-10-01,88.4,-2.15,5.99,"Stallings, Jacob",607732,656578,,ball,,,,,12,Jacob Stallings lines out to left fielder Jack Suwinski.,R,R,R,PIT,MIA,B,,,1,0,2023,0.23,0.47,1.22,2.45,,,621563.0,1,2,Top,,,,,641511,,,7.778048695211018,-128.7120191477661,-3.665330474417845,1.2911055037498873,21.810127681693576,-26.383982301887585,3.12,1.36,,,,89.6,2293.0,6.6,716362,656578,641511,656582,693304,669707,678894,669261,678225,609280,53.89,,,,,,,,10,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,206.0,0.0,0.063
15,FF,2023-10-01,94.9,-1.66,6.04,"Stallings, Jacob",607732,656578,,ball,,,,,14,Jacob Stallings lines out to left fielder Jack Suwinski.,R,R,R,PIT,MIA,B,,,0,0,2023,-0.82,1.47,1.4,2.18,,,621563.0,1,2,Top,,,,,641511,,,9.875981176431353,-137.7378902812014,-7.790050230505038,-12.53840722689872,28.43400508763508,-11.89762472813987,3.09,1.36,,,,95.7,2255.0,6.7,716362,656578,641511,656582,693304,669707,678894,669261,678225,609280,53.79,,,,,,,,10,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,213.0,0.0,0.042
16,SL,2023-10-01,83.7,-2.07,5.97,"Stallings, Jacob",607732,674370,strikeout,swinging_strike,,,,,14,Jacob Stallings strikes out swinging.,R,R,R,PIT,MIA,S,2.0,,0,2,2023,0.7,-0.03,0.7,1.03,,,,2,5,Top,,,,,641511,,,4.9844407487632525,-121.74125845887328,-4.864922508354879,5.896000833450648,25.95726801396752,-31.649900366004832,3.09,1.39,,,,83.2,2107.0,6.2,716362,674370,641511,656582,693304,669707,678894,669261,678225,609280,54.34,,,0.0,1.0,0.0,0.0,,32,3,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,47.0,0.014,-0.065
17,SL,2023-10-01,85.2,-2.15,5.88,"Stallings, Jacob",607732,674370,,foul,,,,,6,Jacob Stallings strikes out swinging.,R,R,R,PIT,MIA,S,,,0,1,2023,0.51,-0.07,0.35,2.01,,,,2,5,Top,,,,,641511,,,4.841607696837406,-123.96827994359792,-2.640888492407244,4.22698515284546,25.04210911743249,-32.589432425190246,3.09,1.39,7.0,70.1,-17.0,85.0,1986.0,6.2,716362,674370,641511,656582,693304,669707,678894,669261,678225,609280,54.31,,,,,,,,32,2,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,53.0,0.0,-0.023
18,SI,2023-10-01,95.0,-2.02,5.89,"Stallings, Jacob",607732,674370,,called_strike,,,,,9,Jacob Stallings strikes out swinging.,R,R,R,PIT,MIA,S,,,0,0,2023,-1.35,1.04,0.8,1.54,,,,2,5,Top,,,,,641511,,,10.409085312509587,-137.80544218295498,-8.069131080745882,-19.464099236151032,29.870077981055665,-17.209206377224717,3.09,1.36,,,,95.2,2152.0,6.5,716362,674370,641511,656582,693304,669707,678894,669261,678225,609280,53.97,,,,,,,,32,1,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,219.0,0.0,-0.017
19,SL,2023-10-01,86.5,-1.24,5.85,"Stallings, Jacob",607732,664294,strikeout,swinging_strike,,,,,6,Jacob Stallings strikes out swinging.,R,R,R,PIT,MIA,S,2.0,,0,2,2023,-0.69,0.08,0.44,2.08,,,,0,8,Top,,,,,641511,,,5.376745155591742,-125.85997312708658,-2.9233277663186046,-8.435283557737607,26.325580528211702,-30.97368722321841,3.09,1.39,,,,86.1,2139.0,6.1,716362,664294,641511,656582,693304,669707,678894,669261,678225,609280,54.38,,,0.0,1.0,0.0,0.0,,52,3,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,263.0,0.046,-0.152
20,SL,2023-10-01,85.0,-1.24,5.81,"Stallings, Jacob",607732,664294,,called_strike,,,,,5,Jacob Stallings strikes out swinging.,R,R,R,PIT,MIA,S,,,0,1,2023,-0.92,-0.08,0.12,2.06,,,,0,8,Top,,,,,641511,,,5.0184726867583205,-123.79384960688004,-2.3424468030924435,-10.43900689420001,23.719560944780543,-32.73423650209869,3.01,1.31,,,,85.0,1996.0,6.1,716362,664294,641511,656582,693304,669707,678894,669261,678225,609280,54.36,,,,,,,,52,2,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,267.0,0.0,-0.049
21,SL,2023-10-01,84.1,-1.27,5.9,"Stallings, Jacob",607732,664294,,called_strike,,,,,2,Jacob Stallings strikes out swinging.,R,R,R,PIT,MIA,S,,,0,0,2023,-0.89,0.23,-0.24,2.58,,,,0,8,Top,,,,,641511,,,4.122765867649624,-122.5033878934604,-1.8076019860908925,-9.74394126988363,22.96526724486754,-29.67211525067459,3.04,1.31,,,,83.9,2000.0,6.0,716362,664294,641511,656582,693304,669707,678894,669261,678225,609280,54.52,,,,,,,,52,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,268.0,0.0,-0.038
22,SL,2023-09-30,82.7,-1.23,6.02,"Stallings, Jacob",607732,682990,sac_bunt,hit_into_play,,,,,11,"Jacob Stallings out on a sacrifice bunt, third baseman Ke'Bryan Hayes to second baseman Nick Gonzales.   Jon Berti to 3rd.    Garrett Hampson to 2nd.",R,R,R,PIT,MIA,X,5.0,ground_ball,0,1,2023,0.37,-0.27,-0.85,2.77,,542932.0,641658.0,0,6,Top,117.15,190.78,,,682848,,,0.1497822323965417,-120.61293653386984,-0.4835487034479421,3.628786576663253,20.954868562071947,-34.95121859535015,3.09,1.39,1.0,44.5,-68.0,83.0,2437.0,6.1,716378,682990,682848,669707,693304,663647,678894,668804,678225,669261,54.4,0.234,0.211,0.2,0.0,0.0,0.0,1.0,52,2,Slider,2,2,2,2,2,2,2,2,Strategic,Standard,80.0,-0.004,0.089
23,SL,2023-09-30,84.0,-1.28,6.04,"Stallings, Jacob",607732,682990,,foul_bunt,,,,,5,"Jacob Stallings out on a sacrifice bunt, third baseman Ke'Bryan Hayes to second baseman Nick Gonzales.   Jon Berti to 3rd.    Garrett Hampson to 2nd.",R,R,R,PIT,MIA,S,,,0,0,2023,0.34,-0.25,-0.06,1.96,,542932.0,641658.0,0,6,Top,,,,,682848,,,2.1520093586026703,-122.44597911574532,-2.5996544715047225,3.048791705010566,22.38031567427093,-34.471853451941456,3.09,1.39,1.0,,,84.1,2470.0,6.1,716378,682990,682848,669707,693304,663647,678894,668804,678225,669261,54.42,,,,,,,,52,1,Slider,2,2,2,2,2,2,2,2,Strategic,Standard,78.0,0.0,-0.097
24,SI,2023-09-30,94.7,-0.92,6.09,"Stallings, Jacob",607732,682990,strikeout,called_strike,,,,,3,Jacob Stallings called out on strikes.,R,R,R,PIT,MIA,S,2.0,,1,2,2023,-0.93,0.76,0.44,3.09,,,,0,4,Top,,,,,682848,,,5.6286100178613605,-137.87094333345308,-3.8735311025952672,-13.163365933181415,29.77289396959909,-21.848641709056576,3.09,1.39,,,,94.7,2209.0,6.2,716378,682990,682848,669707,693304,663647,678894,668804,678225,669261,54.3,,,0.0,1.0,0.0,0.0,,34,4,Sinker,1,2,2,1,2,1,2,1,Standard,Standard,215.0,0.023,-0.173
