,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
0,FF,2023-08-30,91.7,-2.0,5.93,"Toglia, Michael",669911,670241,field_out,hit_into_play,,,,,3,"Michael Toglia grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",R,L,R,COL,ATL,X,4.0,ground_ball,0,2,2023,-0.49,1.06,0.74,3.47,,666134.0,,2,6,Bot,146.67,148.77,,,518595,,,8.015475577719785,-133.52228426712824,-2.7359650226460164,-7.371512268401818,23.93635247895832,-19.05562878504076,3.74,1.81,32.0,83.4,-4.0,92.6,2197.0,6.4,716773,670241,518595,621566,645277,663586,606115,607680,671739,660670,54.08,0.157,0.141,0.0,1.0,0.0,0.0,2.0,53,3,4-Seam Fastball,2,7,2,7,7,2,2,7,Standard,Standard,207.0,-0.012,-0.207
1,FF,2023-08-30,90.3,-2.02,5.99,"Toglia, Michael",669911,670241,,foul,,,,,3,"Michael Toglia grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",R,L,R,COL,ATL,S,,,0,1,2023,-0.41,0.99,0.44,3.34,,666134.0,,2,6,Bot,,,,,518595,,,7.022957937077412,-131.52715247645742,-2.8539285344461174,-6.052429538563683,22.31725023636377,-20.235278575873654,3.74,1.81,208.0,76.3,57.0,91.2,2115.0,6.4,716773,670241,518595,621566,645277,663586,606115,607680,671739,660670,54.14,,,,,,,,53,2,4-Seam Fastball,2,7,2,7,7,2,2,7,Standard,Standard,208.0,0.0,-0.068
2,FC,2023-08-30,86.7,-2.37,5.79,"Toglia, Michael",669911,670241,,foul,,,,,5,"Michael Toglia grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",R,L,R,COL,ATL,S,,,0,0,2023,0.11,0.88,-0.11,2.66,,666134.0,,2,6,Bot,,,,,518595,,,5.189908142195064,-126.3376464747464,-3.2006988029709604,0.3032989656968048,20.825566488232816,-22.26333170802472,3.74,1.81,188.0,66.3,49.0,87.5,2306.0,6.3,716773,670241,518595,621566,645277,663586,606115,607680,671739,660670,54.21,,,,,,,,53,1,Cutter,2,7,2,7,7,2,2,7,Standard,Standard,204.0,0.0,-0.051
3,FF,2023-08-30,89.6,-1.95,6.08,"Toglia, Michael",669911,670241,strikeout,foul_tip,,,,,2,Michael Toglia strikes out on a foul tip.,R,L,R,COL,ATL,S,2.0,,2,2,2023,-0.2,1.06,-0.23,3.63,,,696100.0,2,4,Bot,,,,,518595,,,4.665025384366854,-130.52981892750392,-2.3858967851622706,-3.1456633629842057,23.892898335290504,-19.668091740579605,3.74,1.81,,,,90.0,2151.0,6.2,716773,670241,518595,621566,645277,663586,606115,607680,671739,660670,54.29,,,0.0,1.0,0.0,0.0,,33,7,4-Seam Fastball,1,3,1,3,3,1,1,3,Infield shade,Strategic,207.0,-0.029,-0.201
4,CH,2023-08-30,80.6,-2.28,5.81,"Toglia, Michael",669911,670241,,foul,,,,,14,Michael Toglia strikes out on a foul tip.,R,L,R,COL,ATL,S,,,2,2,2023,-0.91,0.54,0.42,1.56,,,696100.0,2,4,Bot,,,,,518595,,,7.727119583258492,-117.24184386630267,-3.868651768193037,-9.700957070274256,19.110703248506475,-26.68494868504266,3.74,1.81,4.0,73.6,-26.0,81.1,1491.0,6.4,716773,670241,518595,621566,645277,663586,606115,607680,671739,660670,54.14,,,,,,,,33,6,Changeup,1,3,1,3,3,1,1,3,Infield shade,Strategic,223.0,0.0,0.0
5,CH,2023-08-30,81.4,-2.23,5.8,"Toglia, Michael",669911,670241,,foul,,,,,14,Michael Toglia strikes out on a foul tip.,R,L,R,COL,ATL,S,,,2,2,2023,-0.73,0.65,0.85,1.56,,,696100.0,2,4,Bot,,,,,518595,,,8.315900638325571,-118.40313223378342,-4.246489240019573,-8.29941666906194,19.687817500931025,-25.45589259387982,3.74,1.81,2.0,81.7,-38.0,82.0,1452.0,6.4,716773,670241,518595,621566,645277,663586,606115,607680,671739,660670,54.08,,,,,,,,33,5,Changeup,1,3,1,3,3,1,1,3,Infield shade,Strategic,222.0,0.0,0.0
6,CH,2023-08-30,82.5,-2.31,5.78,"Toglia, Michael",669911,670241,,blocked_ball,,,,,14,Michael Toglia strikes out on a foul tip.,R,L,R,COL,ATL,B,,,1,2,2023,-0.8,0.67,0.16,0.37,,,696100.0,2,4,Bot,,,,,518595,,,7.180938811036516,-119.97954827102215,-7.225348106550842,-9.007426411847126,18.86289755641321,-24.556301993641732,3.73,1.78,,,,83.2,1594.0,6.4,716773,670241,518595,621566,645277,663586,606115,607680,671739,660670,54.1,,,,,,,,33,4,Changeup,1,3,1,3,3,1,1,3,Infield shade,Strategic,220.0,0.0,0.028
7,CH,2023-08-30,81.2,-2.28,5.84,"Toglia, Michael",669911,670241,,swinging_strike,,,,,13,Michael Toglia strikes out on a foul tip.,R,L,R,COL,ATL,S,,,1,1,2023,-0.6,0.71,-0.07,1.35,,,696100.0,2,4,Bot,,,,,518595,,,6.119257783386258,-118.21452630774054,-4.914061906073208,-6.700614205686517,18.33869719390991,-24.838759547181567,3.74,1.81,,,,81.9,1511.0,6.4,716773,670241,518595,621566,645277,663586,606115,607680,671739,660670,54.15,,,,,,,,33,3,Changeup,1,3,1,3,3,1,1,3,Standard,Standard,221.0,0.0,-0.05
8,CH,2023-08-30,81.5,-2.27,5.92,"Toglia, Michael",669911,670241,,ball,,,,,13,Michael Toglia strikes out on a foul tip.,R,L,R,COL,ATL,B,,,0,1,2023,-0.74,0.59,-0.29,0.91,,,696100.0,2,4,Bot,,,,,518595,,,5.860713577173506,-118.6648792701029,-5.939301791404403,-7.938550023738797,17.566979247919832,-25.72141141676149,3.71,1.83,,,,82.2,1670.0,6.2,716773,670241,518595,621566,645277,663586,606115,607680,671739,660670,54.29,,,,,,,,33,2,Changeup,1,3,1,3,3,1,1,3,Standard,Standard,218.0,0.0,0.021
9,FC,2023-08-30,84.8,-2.29,5.85,"Toglia, Michael",669911,670241,,called_strike,,,,,1,Michael Toglia strikes out on a foul tip.,R,L,R,COL,ATL,S,,,0,0,2023,0.15,0.58,-0.49,3.41,,,696100.0,2,4,Bot,,,,,518595,,,3.930274572028696,-123.56563047122528,-0.6477543465194384,0.8771530425386713,20.993291751924783,-26.21856657181863,3.76,1.83,,,,85.4,2297.0,6.3,716773,670241,518595,621566,645277,663586,606115,607680,671739,660670,54.22,,,,,,,,33,1,Cutter,1,3,1,3,3,1,1,3,Standard,Standard,201.0,0.0,-0.038
