,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
0,CH,2023-10-01,85.0,-1.47,5.98,"Tovar, Ezequiel",678662,641927,field_out,hit_into_play,,,,,9,"Ezequiel Tovar grounds out, third baseman Donovan Solano to first baseman Alex Kirilloff.",R,R,R,COL,MIN,X,5.0,ground_ball,0,1,2023,-1.48,0.47,0.81,1.59,,,,2,5,Bot,105.16,158.75,,,680777,,,8.402560237067316,-123.53668241365344,-5.058120591116875,-16.70578020826522,20.487506411609345,-26.61051054477233,3.08,1.45,4.0,58.5,-23.0,86.4,2055.0,6.9,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.6,0.049,0.048,0.0,1.0,0.0,0.0,1.0,37,2,Changeup,1,2,1,2,2,1,1,2,Standard,Strategic,251.0,-0.016,-0.089
1,CH,2023-10-01,83.9,-1.45,5.96,"Tovar, Ezequiel",678662,641927,,called_strike,,,,,12,"Ezequiel Tovar grounds out, third baseman Donovan Solano to first baseman Alex Kirilloff.",R,R,R,COL,MIN,S,,,0,0,2023,-1.05,0.25,0.84,2.44,,,,2,5,Bot,,,,,680777,,,7.497142112180832,-122.15825503063634,-2.4130861567294444,-11.839302155774217,18.781960285576613,-29.38128669694399,3.13,1.51,,,,86.2,2016.0,7.2,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.28,,,,,,,,37,1,Changeup,1,2,1,2,2,1,1,2,Standard,Strategic,256.0,0.0,-0.017
2,SL,2023-10-01,78.6,-1.35,5.93,"Tovar, Ezequiel",678662,641927,field_out,hit_into_play,,,,,12,Ezequiel Tovar flies out to center fielder Willi Castro.,R,R,R,COL,MIN,X,8.0,fly_ball,2,2,2023,0.96,0.01,1.0,2.96,,,,0,3,Bot,127.89,89.88,,,680777,,,3.37386189647966,-114.59474585820398,0.2995857532780215,7.969384628509387,18.300446531001693,-32.35570395001758,3.08,1.45,272.0,82.2,48.0,80.4,1984.0,7.2,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.35,0.029,0.032,0.0,1.0,0.0,0.0,3.0,20,5,Slider,0,2,0,2,2,0,0,2,Standard,Standard,66.0,-0.026,-0.214
3,CH,2023-10-01,83.7,-1.5,5.88,"Tovar, Ezequiel",678662,641927,,foul,,,,,5,Ezequiel Tovar flies out to center fielder Willi Castro.,R,R,R,COL,MIN,S,,,2,1,2023,-1.26,0.44,0.17,2.21,,,,0,3,Bot,,,,,680777,,,6.4174703964098585,-121.80111553124392,-3.0038167126124646,-13.745185321276084,21.41784954342636,-27.43933775081542,3.08,1.45,206.0,68.6,50.0,85.0,1992.0,6.9,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.6,,,,,,,,20,4,Changeup,0,2,0,2,2,0,0,2,Standard,Standard,252.0,0.0,-0.067
4,FF,2023-10-01,92.2,-1.31,5.96,"Tovar, Ezequiel",678662,641927,,ball,,,,,12,Ezequiel Tovar flies out to center fielder Willi Castro.,R,R,R,COL,MIN,B,,,1,1,2023,-0.44,1.27,1.77,3.22,,,,0,3,Bot,,,,,680777,,,8.892126391620494,-134.12489787906895,-4.05698975717424,-6.907411723336727,23.170178832762375,-16.027612998269785,3.21,1.42,,,,94.3,2369.0,7.1,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.41,,,,,,,,20,3,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,211.0,0.0,0.053
5,FF,2023-10-01,91.4,-1.49,5.92,"Tovar, Ezequiel",678662,641927,,swinging_strike,,,,,11,Ezequiel Tovar flies out to center fielder Willi Castro.,R,R,R,COL,MIN,S,,,1,0,2023,-0.63,1.27,-0.37,3.39,,,,0,3,Bot,,,,,680777,,,4.24704662230281,-133.20069611279473,-3.3742498826491394,-8.32692584777351,24.29014523740183,-16.432448382850442,3.08,1.45,,,,93.3,2447.0,7.0,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.49,,,,,,,,20,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,212.0,0.0,-0.046
6,CH,2023-10-01,83.5,-1.52,5.92,"Tovar, Ezequiel",678662,641927,,ball,,,,,14,Ezequiel Tovar flies out to center fielder Willi Castro.,R,R,R,COL,MIN,B,,,0,0,2023,-1.19,0.32,1.97,0.4,,,,0,3,Bot,,,,,680777,,,10.512005577103489,-121.19450153628364,-7.129056819698892,-13.470008877557673,18.047374302323327,-27.93518504900005,3.17,1.42,,,,85.5,2180.0,7.2,716359,641927,680777,666135,666397,456781,571657,656669,650489,670242,53.3,,,,,,,,20,1,Changeup,0,2,0,2,2,0,0,2,Standard,Standard,252.0,0.0,0.036
7,SL,2023-10-01,90.1,-3.03,6.42,"Tovar, Ezequiel",678662,660896,strikeout,swinging_strike,,,,,14,Ezequiel Tovar strikes out swinging.,R,R,R,COL,MIN,S,2.0,,3,2,2023,0.26,0.32,0.9,1.87,,,,1,8,Bot,,,,,680777,,,9.14340794847485,-131.08157486154323,-6.107694783087166,1.4708205547709712,22.306020214452044,-27.466259747775705,3.08,1.45,,,,90.1,2618.0,5.8,716359,660896,680777,543877,666397,456781,571657,650489,664057,656669,54.66,,,0.0,1.0,0.0,0.0,,60,7,Slider,1,2,1,2,2,1,1,2,Standard,Standard,188.0,-0.046,-0.207
8,FF,2023-10-01,97.7,-2.65,6.66,"Tovar, Ezequiel",678662,660896,,foul,,,,,11,Ezequiel Tovar strikes out swinging.,R,R,R,COL,MIN,S,,,3,2,2023,-0.64,1.17,-0.67,3.66,,,,1,8,Bot,,,,,680777,,,6.751548988789257,-142.27161753223322,-5.363340110302258,-10.029823006225657,25.850284934271524,-15.20499684920917,3.08,1.45,,,,97.8,2330.0,5.8,716359,660896,680777,543877,666397,456781,571657,650489,664057,656669,54.67,,,,,,,,60,6,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,214.0,0.0,0.0
9,FF,2023-10-01,97.3,-2.91,6.53,"Tovar, Ezequiel",678662,660896,,swinging_strike,,,,,11,Ezequiel Tovar strikes out swinging.,R,R,R,COL,MIN,S,,,3,1,2023,-0.72,1.04,-0.92,3.27,,,,1,8,Bot,,,,,680777,,,6.905978853763503,-141.6771367499242,-5.647442198740341,-11.052637285067725,25.881945583527983,-17.092997734895512,3.08,1.45,,,,97.3,2386.0,5.8,716359,660896,680777,543877,666397,456781,571657,650489,664057,656669,54.71,,,,,,,,60,5,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,219.0,0.0,-0.066
