,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Mar 30 2023,COL,@,SDP,W,7.0,2.0,9.0,1-0,1.0,Tied,Márquez,Snell,None,2:56,N,45103.0,1.03,1,
2,Mar 31 2023,COL,@,SDP,W,4.0,1.0,9.0,2-0,1.0,up 1.0,Freeland,Martínez,Johnson,2:27,N,43177.0,1.10,2,
3,Apr 1 2023,COL,@,SDP,L,4.0,8.0,9.0,2-1,1.0,Tied,Wacha,Ureña,None,2:40,N,42663.0,1.12,-1,
4,Apr 2 2023,COL,@,SDP,L,1.0,3.0,9.0,2-2,1.0,Tied,Lugo,Gomber,Hader,2:03,D,43972.0,1.06,-2,
5,Apr 3 2023,COL,@,LAD,L,4.0,13.0,9.0,2-3,4.0,1.0,Almonte,Feltner,None,2:47,N,49792.0,1.02,-3,
6,Apr 4 2023,COL,@,LAD,L,2.0,5.0,9.0,2-4,5.0,2.0,Urías,Márquez,Phillips,2:25,N,52290.0,.97,-4,
7,Apr 6 2023,COL,Home,WSN,W,1.0,0.0,9.0,3-4,3.0,2.0,Freeland,Gray,Johnson,2:18,D,48230.0,.86,1,
8,Apr 7 2023,COL,Home,WSN,L,5.0,10.0,9.0,3-5,5.0,2.0,Gore,Ureña,None,2:38,N,30869.0,.92,-1,
9,Apr 8 2023,COL,Home,WSN,L,6.0,7.0,9.0,3-6,5.0,2.0,Williams,Gomber,Edwards,2:44,N,34503.0,.88,-2,
10,Apr 9 2023,COL,Home,WSN,W,7.0,6.0,9.0,4-6,5.0,2.0,Lamet,Ramírez,Johnson,2:47,D,30283.0,.83,1,
11,Apr 10 2023,COL,Home,STL,W,7.0,4.0,9.0,5-6,4.0,2.0,Márquez,Matz,None,2:14,N,24092.0,.87,2,
12,Apr 11 2023,COL,Home,STL,L,6.0,9.0,9.0,5-7,5.0,2.0,Gallegos,Johnson,Helsley,2:37,N,25399.0,.87,-1,
13,Apr 12 2023,COL,Home,STL,L,4.0,7.0,9.0,5-8,5.0,3.0,Pallante,Lawrence,Helsley,2:34,D,22250.0,.86,-2,
14,Apr 14 2023,COL,@,SEA,L,3.0,5.0,9.0,5-9,5.0,3.0,Brash,Gomber,Sewald,2:34,N,32698.0,.78,-3,
15,Apr 15 2023,COL,@,SEA,L,2.0,9.0,9.0,5-10,5.0,3.0,Kirby,Feltner,None,2:49,N,27549.0,.73,-4,
16,Apr 16 2023,COL,@,SEA,L,0.0,1.0,9.0,5-11,5.0,4.0,Castillo,Lamet,Sewald,2:19,D,23585.0,.70,-5,
17,Apr 17 2023,COL,Home,PIT,L,3.0,14.0,9.0,5-12,5.0,5.0,Hill,Freeland,None,2:52,N,20322.0,.69,-6,
18,Apr 18 2023,COL,Home,PIT,L,3.0,5.0,9.0,5-13,5.0,6.0,Velasquez,Ureña,Bednar,2:39,N,19495.0,.62,-7,
19,Apr 19 2023,COL,Home,PIT,L,3.0,14.0,9.0,5-14,5.0,6.0,Oviedo,Gomber,None,2:32,D,18511.0,.56,-8,
20,Apr 20 2023,COL,@,PHI,W,5.0,0.0,9.0,6-14,5.0,5.0,Feltner,Strahm,None,2:40,N,35062.0,.52,1,
21,Apr 21 2023,COL,@,PHI,L,3.0,4.0,9.0,6-15,5.0,6.0,Domínguez,Hand,Alvarado,2:35,N,43261.0,.56,-1,
22,Apr 22 2023,COL,@,PHI,L,3.0,4.0,9.0,6-16,5.0,6.0,Brogdon,Freeland,Kimbrel,2:26,D,41939.0,.51,-2,
23,Apr 23 2023,COL,@,PHI,L,3.0,9.0,9.0,6-17,5.0,6.0,Wheeler,Ureña,None,2:43,D,44618.0,.46,-3,
24,Apr 24 2023,COL,@,CLE,W,6.0,0.0,9.0,7-17,5.0,6.0,Gomber,Quantrill,None,2:25,N,9258.0,.43,1,
25,Apr 25 2023,COL,@,CLE,W,5.0,1.0,9.0,8-17,5.0,5.5,Feltner,Battenfield,None,2:22,N,9493.0,.45,2,
26,Apr 26 2023,COL,@,CLE,L,1.0,4.0,9.0,8-18,5.0,6.0,Bibee,Márquez,Clase,2:32,D,9841.0,.51,-1,
27,Apr 28 2023,COL,Home,ARI,L,1.0,9.0,9.0,8-19,5.0,7.0,Kelly,Freeland,None,2:46,N,24197.0,.48,-2,
28,Apr 29 2023,COL,Home,ARI,L,4.0,11.0,9.0,8-20,5.0,8.0,Henry,Davis,None,2:50,N,34399.0,.43,-3,
29,Apr 30 2023,COL,Home,ARI,W,12.0,4.0,9.0,9-20,5.0,7.0,Gomber,Nelson,None,2:31,D,31900.0,.37,1,
30,May 2 2023,COL,Home,MIL,W,3.0,2.0,9.0,10-20,5.0,7.5,Lawrence,Strzelecki,Johnson,2:12,N,19517.0,.36,2,
31,May 3 2023,COL,Home,MIL,W,7.0,1.0,9.0,11-20,5.0,7.5,Freeland,Lauer,None,2:41,N,20640.0,.46,3,
32,May 4 2023,COL,Home,MIL,W,9.0,6.0,9.0,12-20,5.0,7.0,Hand,Strzelecki,None,2:43,D,30647.0,.47,4,
33,May 5 2023,COL,@,NYM,L,0.0,1.0,9.0,12-21,5.0,7.0,Senga,Senzatela,Ottavino,2:10,N,25854.0,.53,-1,
